Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,in_allow_single_entry,in_anchor_tf,in_swing_bars,in_fvg_min_atr_factor,in_sl_mode,in_sl_atr_factor_from_entry,in_sl_padding_atr_factor,in_trailing_stop_atr_factor
1309,66.45,1237.57,2.891519,3.048991,2.641897,3.411558,0,41.3871,428,true,6,116,0.4,1,2,0.9,1.5
1084,64.67,1177.65,2.670408,2.84192,2.513983,3.139588,0,42.2182,441,true,6,116,0.4,1,2.2,0.8,3.6
958,64.67,1177.54,2.670159,2.841748,2.513748,3.139415,0,42.2182,441,true,6,116,0.4,1,2.2,0.8,3.7
1668,64.66,1176.45,2.667687,2.840043,2.511421,3.141038,0,42.2182,441,true,6,116,0.4,1,2.2,0.8,1.7
1478,64.66,1175.92,2.666485,2.839214,2.510289,3.140001,0,42.2182,441,true,6,116,0.4,1,2.2,0.8,2
783,64.65,1175.69,2.665964,2.838854,2.509798,3.139588,0,42.2182,441,true,6,116,0.4,1,2.2,0.8,2.1
1507,64.65,1175.66,2.665896,2.838808,2.509734,3.139541,0,42.2182,441,true,6,116,0.4,1,2.2,0.8,2.2
594,64.65,1175.06,2.664535,2.837869,2.508454,3.137782,0,42.2182,441,true,6,116,0.4,1,2.2,0.8,2.9
1332,65.28,1157.43,2.642534,2.726657,2.470818,2.967527,0,42.5224,438,true,6,116,0.4,1,3.4,0.8,1.6
1299,63.97,1108.88,2.531689,2.648108,2.367176,2.973671,0,42.2639,438,true,6,116,0.4,1,3.4,0.7,2.4
3212,71.46,1099.09,2.309013,2.888536,3.025462,4.34448,0,32.3831,476,true,5,110,0.3,1,2.6,0.9,2.1
3181,71.78,1096.07,2.302668,2.854477,3.017149,4.272149,0,32.4647,476,true,5,110,0.3,1,2.8,0.9,2
3400,71.09,1087.36,2.228197,2.826698,2.993173,4.260318,0,32.645,488,true,5,110,0.3,1,2.8,0.7,2.3
2014,67.73,1084.33,2.151448,2.821301,2.984833,4.507343,0,32.1336,504,true,5,110,0.3,1,2,0.9,2.6
3167,68.85,1080.68,2.165691,2.858339,2.974785,4.527302,0,32.2222,499,true,5,110,0.3,1,2.8,0.2,1.7
2749,72.89,1077.47,2.297377,2.799623,2.965949,4.094671,0,32.6356,469,true,5,110,0.3,1,3.2,0.9,3.6
2508,66.01,1073.58,2.052734,2.783622,2.955241,4.529192,0,32.0486,523,true,5,110,0.3,1,1.8,0.9,3.3
2509,66.01,1071.8,2.049331,2.780665,2.950341,4.524095,0,32.0486,523,true,5,110,0.3,1,1.8,0.9,3.6
2885,69.06,1070.53,2.153984,2.763873,2.946845,4.283507,0,32.5625,497,true,5,110,0.3,1,2.6,0.7,1.7
1681,62.02,1068.8,2.412641,2.731271,2.281616,3.392624,0,40.88,443,true,6,116,0.4,1,2.2,0.3,3.5
2797,70.41,1068.47,2.162895,2.789103,2.941175,4.33446,0,32.5019,494,true,5,110,0.3,1,3,0.4,2.6
1498,61.99,1067.07,2.408736,2.728468,2.277922,3.392886,0,40.88,443,true,6,116,0.4,1,2.2,0.3,1.9
1227,61.98,1066.47,2.407381,2.727497,2.276642,3.39088,0,40.88,443,true,6,116,0.4,1,2.2,0.3,2.6
2726,70.2,1058.27,2.146592,2.739631,2.913097,4.25393,0,32.587,493,true,5,110,0.3,1,3.2,0.4,1.5
1985,77.32,1057.57,3.572872,2.675146,2.514193,4.392502,0,34.2555,296,true,10,96,0.3,0,2.8,1,3.7
3488,67.18,1048.46,2.055804,2.762503,2.886093,4.507657,0,32.1418,510,true,5,110,0.3,1,2.6,0.2,3.7
1651,61.46,1043.39,2.355282,2.625877,2.227372,3.209251,0,41.3645,443,true,6,116,0.4,1,2,0.5,4
1641,61.34,1037.66,2.342348,2.602638,2.21514,3.19882,0,41.309,443,true,6,116,0.4,1,2.6,0.4,4
2610,64.71,1029.98,1.872691,2.632427,2.835224,4.606703,0,32.1313,550,true,5,110,0.3,1,1.8,0.6,2.4
1834,75.68,1029.54,3.289265,2.526783,2.447556,4.251536,0,34.539,313,true,10,94,0.3,0,2.8,0.9,2.6
1676,75.91,1028.33,3.285399,2.507219,2.44468,4.22181,0,34.6345,313,true,10,94,0.3,0,2.8,1,3.7
1898,75.9,1027.59,3.283035,2.506134,2.44292,4.219891,0,34.6345,313,true,10,94,0.3,0,2.8,1,3.8
2706,64.69,1027.21,1.867655,2.628037,2.827599,4.598859,0,32.1313,550,true,5,110,0.3,1,1.8,0.6,2.8
1621,74.74,1024.84,2.100082,2.618714,3.350026,3.887423,0,29.9552,488,true,5,104,0.3,1,4,0.7,2
1872,75.62,1024.73,3.273898,2.519649,2.436121,4.23901,0,34.539,313,true,10,94,0.3,0,2.8,0.9,3.3
1258,74.74,1023.28,2.096885,2.61625,3.344927,3.882872,0,29.9552,488,true,5,104,0.3,1,4,0.7,3.1
704,75.55,1019.72,3.257891,2.51222,2.424211,4.227537,0,34.539,313,true,10,94,0.3,0,2.8,0.9,1.7
870,64.78,1010.47,1.675738,2.635673,3.303053,5.171107,0,29.1725,603,true,5,104,0.3,1,1,1,1.7
1316,64.77,1009.49,1.674113,2.634087,3.29985,5.16764,0,29.1725,603,true,5,104,0.3,1,1,1,2.2
1679,64.77,1007.27,1.670431,2.630494,3.292593,5.159949,0,29.1725,603,true,5,104,0.3,1,1,1,3.3
1517,64.77,1006.15,1.668574,2.628681,3.288932,5.154179,0,29.1725,603,true,5,104,0.3,1,1,1,3.8
1320,57.36,1005.47,1.998946,2.151174,2.062249,2.43174,0,43.612,503,true,6,118,0.4,1,2.2,0.8,2.1
4156,65.92,978.31,1.821806,2.570245,2.842602,4.399797,0,32.2232,537,true,5,108,0.3,1,2.6,0.3,3.6
1595,72.99,963.91,3.079585,2.428989,2.291532,4.161303,0,34.3568,313,true,10,94,0.3,0,3,0.7,2.9
1700,79.16,948.73,3.593674,3.288412,2.756654,5.02709,0,33.2773,264,true,10,92,0.4,0,2,0.3,4
2585,65.09,946.59,1.646243,2.418878,3.09424,4.363313,0,31.3565,575,true,5,104,0.3,1,1.8,0.9,3.6
688,79.24,946.38,3.755476,3.228402,2.749826,4.666553,0,33.3495,252,true,10,92,0.4,0,2,0.8,2.3
2159,79.17,946.34,3.815887,3.163557,2.749709,4.578565,0,33.5759,248,true,10,94,0.4,0,1.6,1,3.8
1925,79.11,939.91,3.78996,3.163448,2.731026,4.575447,0,33.5203,248,true,10,94,0.4,0,1.6,0.9,2.9
1775,79.11,939.91,3.78996,3.163448,2.731026,4.575447,0,33.5203,248,true,10,94,0.4,0,1.6,0.9,2.8
151,79.11,939.91,3.78996,3.163448,2.731026,4.575447,0,33.5203,248,true,10,94,0.4,0,3.4,0.9,2.8
2115,79.1,939.07,3.786573,3.161515,2.728586,4.572767,0,33.5203,248,true,10,94,0.4,0,1.8,0.9,3
2072,79.18,938.26,3.723254,3.209282,2.726232,4.639632,0,33.3495,252,true,10,92,0.4,0,2,0.8,3.6
1374,79.16,936.56,3.716508,3.205279,2.721292,4.634169,0,33.3495,252,true,10,92,0.4,0,2,0.8,3.8
1896,79.08,936.55,3.776411,3.155714,2.721263,4.564699,0,33.5203,248,true,10,94,0.4,0,1.6,0.9,3.6
2048,79.07,935.15,3.770766,3.152492,2.717195,4.560199,0,33.5203,248,true,10,94,0.4,0,3.4,0.9,3.8
1931,74.47,925.11,3.376314,2.582521,2.199292,3.515093,0,37.8307,274,true,10,90,0.3,0,1,0.8,3.3
1627,74.36,920.7,3.360219,2.574977,2.188808,3.505607,0,37.8307,274,true,10,90,0.3,0,1,0.8,1.7
1323,79.41,917.94,4.008472,3.359561,2.824083,4.721281,0,32.2416,229,true,10,86,0.4,0,2.8,1,2.1
1608,79.41,917.53,4.006681,3.358507,2.822822,4.71991,0,32.2416,229,true,10,86,0.4,0,1.2,1,2.2
490,79.41,917.31,4.005721,3.357942,2.822145,4.719173,0,32.2416,229,true,10,86,0.4,0,2.8,1,2.3
1259,79.4,915.8,3.999127,3.35406,2.817499,4.713088,0,32.2416,229,true,10,86,0.4,0,2.8,1,2.9
1955,79.39,913.8,3.990393,3.348919,2.811346,4.70638,0,32.2416,229,true,10,86,0.4,0,2.8,1,3.5
1348,55.16,912.85,1.807624,2.093312,1.872282,2.695299,0,42.217,505,true,6,118,0.4,1,2.2,0.3,2.6
1669,79.38,912.4,3.984279,3.34532,2.807039,4.701669,0,32.2416,229,true,10,86,0.4,0,2.8,1,3.8
1147,79.37,911.73,3.981354,3.343598,2.804978,4.703193,0,32.2416,229,true,10,86,0.4,0,2.8,1,1.5
1038,64.27,911.19,1.462584,2.428399,2.978524,5.130116,0,29.0244,623,true,5,104,0.3,1,1,0.5,3
