Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,in_anchor_tf,in_swing_bars,in_fvg_min_atr_factor,in_sl_mode,in_sl_atr_factor_from_entry,in_sl_padding_atr_factor,in_trailing_stop_atr_factor,in_enable_spread_filter,in_max_spread_points,in_enable_session_filter,in_session_start_hour,in_session_end_hour,in_enable_fifty_buffer,in_fifty_buffer,in_after_tp1_mode,in_trailing_stop_atr_factor_after_tp1,in_be_offset_points,in_symbol_preset,in_enable_plan_c,in_enable_plan_d,in_plan_d_low_vol_ratio,in_plan_d_high_vol_ratio,in_plan_d_buffer_lowvol,in_plan_d_buffer_highvol
171,848.57,348.57,9.6825,1.761685,1.247968,6.293276,0,26.1651,36,10,97,0.3,1,2.3,0.9,3.9,false,29,true,6,17,true,0.24,2,3.4,3,2,false,false,1.14,1.475,0.02,0.09
1789,3490.55,2990.55,18.124545,2.336039,2.009778,5.465174,0,36.3691,165,15,102,0.4,0,2.8,0.6,2.3,false,39,false,18,22,false,0.52,2,2.2,3,2,true,false,0.804,0.775,0.02,0.06
2428,3101.54,2601.54,16.259625,2.345181,1.781645,5.790358,0,36.3222,160,15,94,0.5,1,2.4,0.8,2.7,false,27,false,17,22,false,0.52,2,2.2,3,2,true,false,0.804,2.15,0.05,0.08
2250,3490.55,2990.55,18.124545,2.336039,2.009778,5.465174,0,36.3691,165,15,102,0.4,0,2.7,0.6,2.7,false,27,false,17,22,false,0.52,2,2.2,3,2,true,false,0.804,0.775,0.02,0.06
2505,3054.13,2554.13,47.298704,4.558275,3.957192,8.369067,0,38.9603,54,20,106,0.3,0,3,0.5,3.1,false,23,true,8,15,false,0.54,2,3.8,0,2,false,false,0.444,1.4,0.05,0.08
2707,3760.05,3260.05,20.248758,2.559452,2.156588,5.657279,0,34.4092,161,15,102,0.4,0,2.4,0.8,2.7,false,27,false,17,22,false,0.52,2,2.2,3,2,true,false,0.804,0.775,0.02,0.06
2739,2315.21,1815.21,37.045102,4.079393,2.499876,7.969045,0,41.7262,49,20,90,0.3,0,2.7,0.2,3.7,false,37,true,17,21,false,0.54,2,3.8,0,2,false,false,0.444,2.325,0.04,0.08
2871,3490.55,2990.55,18.124545,2.336039,2.009778,5.465174,0,36.3691,165,15,102,0.4,0,2.7,0.6,2.7,false,27,false,17,22,false,0.52,2,2.2,3,2,true,false,0.228,1.025,0.03,0.09
2690,3490.55,2990.55,18.124545,2.336039,2.009778,5.465174,0,36.3691,165,15,102,0.4,0,2.7,0.6,2.7,false,27,false,17,22,false,0.52,2,2.2,3,2,true,false,1.188,0.4,0.05,0.08
2905,2006.49,1506.49,10.684326,1.804319,1.062203,4.629135,0,49.3229,141,15,94,0.5,1,2.7,0.4,3.4,false,39,false,17,22,false,0.52,2,2.2,3,2,true,false,0.612,1.825,0.03,0.05
2721,3101.54,2601.54,16.259625,2.345181,1.781645,5.790358,0,36.3222,160,15,94,0.5,1,2.4,0.8,2.7,false,27,false,17,22,false,0.52,2,2.2,3,2,true,false,1.188,2.125,0.02,0.09
2693,2673.28,2173.28,39.514182,3.96564,3.074903,7.198161,0,46.0086,55,20,106,0.3,0,3,0.5,3.1,false,23,true,9,21,false,0.52,2,3.8,0,2,false,false,0.252,1.975,0.03,0.05
2705,2098.31,1598.31,10.515197,1.820825,1.042161,4.462276,0,49.7212,152,15,94,0.5,1,2.3,0.5,3.5,false,37,false,18,22,false,0.52,2,2.2,3,2,true,true,0.612,1.825,0.03,0.05
2977,3490.55,2990.55,18.124545,2.336039,2.009778,5.465174,0,36.3691,165,15,102,0.4,0,2.8,0.6,2.3,false,39,false,11,21,false,0.32,1,2,3,2,true,false,0.804,0.775,0.02,0.06
3037,3101.54,2601.54,16.259625,2.345181,1.781645,5.790358,0,36.3222,160,15,94,0.5,1,2.4,0.8,2.7,false,27,false,4,23,false,0.54,0,2.1,1,2,true,false,0.804,2.2,0.05,0.05
2950,3490.55,2990.55,18.124545,2.336039,2.009778,5.465174,0,36.3691,165,15,102,0.4,0,2.8,0.6,3.2,false,37,false,18,22,false,0.52,2,2.2,3,2,true,false,0.804,0.775,0.02,0.06
