Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,InpEntryMethod,InpTrendTimeframe,InpEntryTimeframe,InpFastEMA_Period,InpSlow1EMA_Period,InpSlow2EMA_Period,InpStopLossPoints,InpTakeProfit1_Points,InpTakeProfit2_Points,InpUseTrailingSL,InpTrailingStartPoints,InpTrailingStopPoints,InpMoneyManagement,InpRiskPercent,InpUseDailyFilter,InpDailyEmaPeriod,InpUseAdxFilter,InpUseDiCrossover,InpAdxPeriod,InpAdxThreshold,InpUseSessionFilter,InpTradingStartHour,InpTradingEndHour,InpBreakoutLookbackBars,InpBreakoutOffsetPoints,InpUseLossLimit
3831,56.82,51.51,1.226429,3.59627,2.253281,2.47745,0,4.288,42,0,30,5,9,30,54,300,275,800,false,300,150,1,0.4,true,210,true,true,28,24,false,11,19,15,30,false
2687,56.13,49.59,1.180714,3.503281,2.169291,2.387409,0,4.292,42,0,30,5,9,30,54,300,275,750,false,300,100,0,0.4,true,190,true,true,26,26,false,8,18,15,30,false
3949,56.12,49.57,1.180238,3.498488,2.168416,2.386002,0,4.292,42,0,30,5,9,30,54,300,275,750,false,300,100,0,0.5,true,210,true,true,28,24,false,11,19,15,30,false
3500,56.12,49.57,1.180238,3.498488,2.168416,2.386002,0,4.292,42,0,30,5,9,30,54,300,275,750,false,250,100,0,0.4,true,210,true,true,28,24,false,11,19,15,30,false
2282,56.12,49.57,1.180238,3.498488,2.168416,2.386002,0,4.292,42,0,30,5,9,30,54,300,275,750,false,300,150,1,0.4,true,210,true,true,28,24,false,11,19,15,30,false
1274,56.12,49.57,1.180238,3.498488,2.168416,2.386002,0,4.292,42,0,30,5,9,30,54,300,275,750,false,300,100,0,0.4,true,210,true,true,28,24,false,11,19,15,30,false
3845,57.66,47.28,1.125714,3.414709,2.419652,2.461475,0,3.5776,42,0,30,5,9,30,54,300,275,550,false,300,150,1,0.2,true,210,true,true,28,24,false,11,19,15,30,false
3303,65.54,44.48,0.988444,3.275192,1.918896,2.476009,0,4.4218,45,0,30,3,9,29,54,300,275,750,false,300,200,0,0.3,true,210,true,true,25,30,false,9,22,12,10,false
2929,65.54,44.48,0.988444,3.275192,1.918896,2.476009,0,4.4218,45,0,30,3,9,29,54,300,275,750,false,300,200,0,0.5,true,210,true,true,25,30,false,9,22,12,10,false
3535,65.65,44.46,0.988,3.273006,1.92885,2.475334,0,4.398,45,0,30,3,8,30,54,300,275,750,false,300,150,1,0.3,true,220,true,true,25,30,false,9,22,12,10,false
3066,71.89,42.43,0.883958,3.164796,1.820249,2.298168,0,4.4579,48,0,30,3,8,30,54,300,250,700,false,350,150,0,0.3,true,180,true,false,25,30,false,9,22,13,10,false
3450,62.44,39.98,0.888444,3.043967,1.715144,2.243151,0,4.4579,45,0,30,3,8,30,54,300,250,700,false,350,150,0,0.3,true,220,true,true,25,30,false,9,22,12,10,false
2942,62.44,39.98,0.888444,3.043967,1.715144,2.243151,0,4.4579,45,0,30,3,8,30,54,300,250,700,false,300,100,1,0.2,true,210,true,true,25,30,false,9,21,13,10,false
2744,62.44,39.98,0.888444,3.043967,1.715144,2.243151,0,4.4579,45,0,30,3,8,30,54,300,250,700,false,300,150,1,0.2,true,210,true,true,25,30,false,9,22,13,10,false
2833,62.44,39.98,0.888444,3.043967,1.715144,2.243151,0,4.4579,45,0,30,3,8,30,54,300,250,700,false,350,150,0,0.3,true,210,true,true,25,30,false,9,22,13,10,false
2592,62.44,39.98,0.888444,3.043967,1.715144,2.243151,0,4.4579,45,0,30,3,8,30,54,300,250,700,false,350,150,1,0.2,true,210,true,true,25,30,false,9,22,13,10,false
