Case,Symbol,K_swing,N_bos,LookbackInternal,M_retest,EqTol,BOSBufferPoints,UseKillzones,UseRoundNumber,UseVSA,RNDelta,L_percentile,RiskPerTradePct,SL_BufferUSD,TP1_R,TP2_R,BE_Activate_R,PartialClosePct,TimeStopMinutes,MinProgressR,MaxSpreadUSD,MaxOpenPositions,UsePendingRetest,RetestOffsetUSD,PendingExpirySec,UseTrailing,TrailMode,TrailATRPeriod,TrailATRMult,TrailStepUSD,TrailStartRR,UsePyramid,MaxAdds,AddSpacingUSD,AddSizeFactor,CooldownSec
1,BTCUSD,30,3,6,1,6.0,1.5,false,true,false,12.0,140,0.15,12.0,1.0,2.0,0.6,45,120,0.6,20.0,3,false,0.0,0,false,0,0,0.0,0.0,0.0,false,0,0.0,0.0,0
2,BTCUSD,30,3,6,1,6.0,1.5,false,true,false,12.0,140,0.15,12.0,1.0,2.0,0.6,45,120,0.6,25.0,3,false,0.0,0,false,0,0,0.0,0.0,0.0,false,0,0.0,0.0,0
3,BTCUSD,30,3,6,1,6.0,1.5,false,true,false,12.0,140,0.15,12.0,1.0,2.0,0.6,45,120,0.6,30.0,3,false,0.0,0,false,0,0,0.0,0.0,0.0,false,0,0.0,0.0,0
4,BTCUSD,30,3,6,1,6.0,1.5,false,true,false,12.0,140,0.15,12.0,1.0,2.0,0.6,45,120,0.6,35.0,3,false,0.0,0,false,0,0,0.0,0.0,0.0,false,0,0.0,0.0,0
5,BTCUSD,30,3,6,1,6.0,1.5,false,true,false,12.0,140,0.15,16.0,1.0,2.0,0.6,45,120,0.6,20.0,3,false,0.0,0,false,0,0,0.0,0.0,0.0,false,0,0.0,0.0,0
6,BTCUSD,30,3,6,1,6.0,1.5,false,true,false,12.0,140,0.15,16.0,1.0,2.0,0.6,45,120,0.6,25.0,3,false,0.0,0,false,0,0,0.0,0.0,0.0,false,0,0.0,0.0,0
7,BTCUSD,30,3,6,1,6.0,1.5,false,true,false,12.0,140,0.15,16.0,1.0,2.0,0.6,45,120,0.6,30.0,3,false,0.0,0,false,0,0,0.0,0.0,0.0,false,0,0.0,0.0,0
8,BTCUSD,30,3,6,1,6.0,1.5,false,true,false,12.0,140,0.15,16.0,1.0,2.0,0.6,45,120,0.6,35.0,3,false,0.0,0,false,0,0,0.0,0.0,0.0,false,0,0.0,0.0,0
9,BTCUSD,30,3,6,1,6.0,1.5,false,true,false,12.0,140,0.15,20.0,1.0,2.0,0.6,45,120,0.6,20.0,3,false,0.0,0,false,0,0,0.0,0.0,0.0,false,0,0.0,0.0,0
10,BTCUSD,30,3,6,1,6.0,1.5,false,true,false,12.0,140,0.15,20.0,1.0,2.0,0.6,45,120,0.6,25.0,3,false,0.0,0,false,0,0,0.0,0.0,0.0,false,0,0.0,0.0,0
11,BTCUSD,30,3,6,1,6.0,1.5,false,true,false,12.0,140,0.15,20.0,1.0,2.0,0.6,45,120,0.6,30.0,3,false,0.0,0,false,0,0,0.0,0.0,0.0,false,0,0.0,0.0,0
12,BTCUSD,30,3,6,1,6.0,1.5,false,true,false,12.0,140,0.15,20.0,1.0,2.0,0.6,45,120,0.6,35.0,3,false,0.0,0,false,0,0,0.0,0.0,0.0,false,0,0.0,0.0,0
13,BTCUSD,30,3,6,1,6.0,1.5,false,true,false,12.0,140,0.15,24.0,1.0,2.0,0.6,45,120,0.6,20.0,3,false,0.0,0,false,0,0,0.0,0.0,0.0,false,0,0.0,0.0,0
14,BTCUSD,30,3,6,1,6.0,1.5,false,true,false,12.0,140,0.15,24.0,1.0,2.0,0.6,45,120,0.6,25.0,3,false,0.0,0,false,0,0,0.0,0.0,0.0,false,0,0.0,0.0,0
15,BTCUSD,30,3,6,1,6.0,1.5,false,true,false,12.0,140,0.15,24.0,1.0,2.0,0.6,45,120,0.6,30.0,3,false,0.0,0,false,0,0,0.0,0.0,0.0,false,0,0.0,0.0,0
16,BTCUSD,30,3,6,1,6.0,1.5,false,true,false,12.0,140,0.15,24.0,1.0,2.0,0.6,45,120,0.6,35.0,3,false,0.0,0,false,0,0,0.0,0.0,0.0,false,0,0.0,0.0,0
17,BTCUSD,30,3,6,1,6.0,1.5,false,true,false,18.0,140,0.15,12.0,1.0,2.0,0.6,45,120,0.6,20.0,3,false,0.0,0,false,0,0,0.0,0.0,0.0,false,0,0.0,0.0,0
18,BTCUSD,30,3,6,1,6.0,1.5,false,true,false,18.0,140,0.15,12.0,1.0,2.0,0.6,45,120,0.6,25.0,3,false,0.0,0,false,0,0,0.0,0.0,0.0,false,0,0.0,0.0,0
19,BTCUSD,30,3,6,1,6.0,1.5,false,true,false,18.0,140,0.15,12.0,1.0,2.0,0.6,45,120,0.6,30.0,3,false,0.0,0,false,0,0,0.0,0.0,0.0,false,0,0.0,0.0,0
20,BTCUSD,30,3,6,1,6.0,1.5,false,true,false,18.0,140,0.15,12.0,1.0,2.0,0.6,45,120,0.6,35.0,3,false,0.0,0,false,0,0,0.0,0.0,0.0,false,0,0.0,0.0,0
21,BTCUSD,30,3,6,1,6.0,1.5,false,true,false,18.0,140,0.15,16.0,1.0,2.0,0.6,45,120,0.6,20.0,3,false,0.0,0,false,0,0,0.0,0.0,0.0,false,0,0.0,0.0,0
22,BTCUSD,30,3,6,1,6.0,1.5,false,true,false,18.0,140,0.15,16.0,1.0,2.0,0.6,45,120,0.6,25.0,3,false,0.0,0,false,0,0,0.0,0.0,0.0,false,0,0.0,0.0,0
23,BTCUSD,30,3,6,1,6.0,1.5,false,true,false,18.0,140,0.15,16.0,1.0,2.0,0.6,45,120,0.6,30.0,3,false,0.0,0,false,0,0,0.0,0.0,0.0,false,0,0.0,0.0,0
24,BTCUSD,30,3,6,1,6.0,1.5,false,true,false,18.0,140,0.15,16.0,1.0,2.0,0.6,45,120,0.6,35.0,3,false,0.0,0,false,0,0,0.0,0.0,0.0,false,0,0.0,0.0,0
25,BTCUSD,30,3,6,1,6.0,1.5,false,true,false,18.0,140,0.15,20.0,1.0,2.0,0.6,45,120,0.6,20.0,3,false,0.0,0,false,0,0,0.0,0.0,0.0,false,0,0.0,0.0,0
26,BTCUSD,30,3,6,1,6.0,1.5,false,true,false,18.0,140,0.15,20.0,1.0,2.0,0.6,45,120,0.6,25.0,3,false,0.0,0,false,0,0,0.0,0.0,0.0,false,0,0.0,0.0,0
27,BTCUSD,30,3,6,1,6.0,1.5,false,true,false,18.0,140,0.15,20.0,1.0,2.0,0.6,45,120,0.6,30.0,3,false,0.0,0,false,0,0,0.0,0.0,0.0,false,0,0.0,0.0,0
28,BTCUSD,30,3,6,1,6.0,1.5,false,true,false,18.0,140,0.15,20.0,1.0,2.0,0.6,45,120,0.6,35.0,3,false,0.0,0,false,0,0,0.0,0.0,0.0,false,0,0.0,0.0,0
29,BTCUSD,30,3,6,1,6.0,1.5,false,true,false,18.0,140,0.15,24.0,1.0,2.0,0.6,45,120,0.6,20.0,3,false,0.0,0,false,0,0,0.0,0.0,0.0,false,0,0.0,0.0,0
30,BTCUSD,30,3,6,1,6.0,1.5,false,true,false,18.0,140,0.15,24.0,1.0,2.0,0.6,45,120,0.6,25.0,3,false,0.0,0,false,0,0,0.0,0.0,0.0,false,0,0.0,0.0,0
31,BTCUSD,30,3,6,1,6.0,1.5,false,true,false,18.0,140,0.15,24.0,1.0,2.0,0.6,45,120,0.6,30.0,3,false,0.0,0,false,0,0,0.0,0.0,0.0,false,0,0.0,0.0,0
32,BTCUSD,30,3,6,1,6.0,1.5,false,true,false,18.0,140,0.15,24.0,1.0,2.0,0.6,45,120,0.6,35.0,3,false,0.0,0,false,0,0,0.0,0.0,0.0,false,0,0.0,0.0,0
33,BTCUSD,30,3,6,1,6.0,1.5,false,true,false,24.0,140,0.15,12.0,1.0,2.0,0.6,45,120,0.6,20.0,3,false,0.0,0,false,0,0,0.0,0.0,0.0,false,0,0.0,0.0,0
34,BTCUSD,30,3,6,1,6.0,1.5,false,true,false,24.0,140,0.15,12.0,1.0,2.0,0.6,45,120,0.6,25.0,3,false,0.0,0,false,0,0,0.0,0.0,0.0,false,0,0.0,0.0,0
35,BTCUSD,30,3,6,1,6.0,1.5,false,true,false,24.0,140,0.15,12.0,1.0,2.0,0.6,45,120,0.6,30.0,3,false,0.0,0,false,0,0,0.0,0.0,0.0,false,0,0.0,0.0,0
36,BTCUSD,30,3,6,1,6.0,1.5,false,true,false,24.0,140,0.15,12.0,1.0,2.0,0.6,45,120,0.6,35.0,3,false,0.0,0,false,0,0,0.0,0.0,0.0,false,0,0.0,0.0,0
37,BTCUSD,30,3,6,1,6.0,1.5,false,true,false,24.0,140,0.15,16.0,1.0,2.0,0.6,45,120,0.6,20.0,3,false,0.0,0,false,0,0,0.0,0.0,0.0,false,0,0.0,0.0,0
38,BTCUSD,30,3,6,1,6.0,1.5,false,true,false,24.0,140,0.15,16.0,1.0,2.0,0.6,45,120,0.6,25.0,3,false,0.0,0,false,0,0,0.0,0.0,0.0,false,0,0.0,0.0,0
39,BTCUSD,30,3,6,1,6.0,1.5,false,true,false,24.0,140,0.15,16.0,1.0,2.0,0.6,45,120,0.6,30.0,3,false,0.0,0,false,0,0,0.0,0.0,0.0,false,0,0.0,0.0,0
40,BTCUSD,30,3,6,1,6.0,1.5,false,true,false,24.0,140,0.15,16.0,1.0,2.0,0.6,45,120,0.6,35.0,3,false,0.0,0,false,0,0,0.0,0.0,0.0,false,0,0.0,0.0,0
41,BTCUSD,30,3,6,1,6.0,1.5,false,true,false,24.0,140,0.15,20.0,1.0,2.0,0.6,45,120,0.6,20.0,3,false,0.0,0,false,0,0,0.0,0.0,0.0,false,0,0.0,0.0,0
42,BTCUSD,30,3,6,1,6.0,1.5,false,true,false,24.0,140,0.15,20.0,1.0,2.0,0.6,45,120,0.6,25.0,3,false,0.0,0,false,0,0,0.0,0.0,0.0,false,0,0.0,0.0,0
43,BTCUSD,30,3,6,1,6.0,1.5,false,true,false,24.0,140,0.15,20.0,1.0,2.0,0.6,45,120,0.6,30.0,3,false,0.0,0,false,0,0,0.0,0.0,0.0,false,0,0.0,0.0,0
44,BTCUSD,30,3,6,1,6.0,1.5,false,true,false,24.0,140,0.15,20.0,1.0,2.0,0.6,45,120,0.6,35.0,3,false,0.0,0,false,0,0,0.0,0.0,0.0,false,0,0.0,0.0,0
45,BTCUSD,30,3,6,1,6.0,1.5,false,true,false,24.0,140,0.15,24.0,1.0,2.0,0.6,45,120,0.6,20.0,3,false,0.0,0,false,0,0,0.0,0.0,0.0,false,0,0.0,0.0,0
46,BTCUSD,30,3,6,1,6.0,1.5,false,true,false,24.0,140,0.15,24.0,1.0,2.0,0.6,45,120,0.6,25.0,3,false,0.0,0,false,0,0,0.0,0.0,0.0,false,0,0.0,0.0,0
47,BTCUSD,30,3,6,1,6.0,1.5,false,true,false,24.0,140,0.15,24.0,1.0,2.0,0.6,45,120,0.6,30.0,3,false,0.0,0,false,0,0,0.0,0.0,0.0,false,0,0.0,0.0,0
48,BTCUSD,30,3,6,1,6.0,1.5,false,true,false,24.0,140,0.15,24.0,1.0,2.0,0.6,45,120,0.6,35.0,3,false,0.0,0,false,0,0,0.0,0.0,0.0,false,0,0.0,0.0,0
49,BTCUSD,30,3,6,1,6.0,1.5,false,true,false,30.0,140,0.15,12.0,1.0,2.0,0.6,45,120,0.6,20.0,3,false,0.0,0,false,0,0,0.0,0.0,0.0,false,0,0.0,0.0,0
50,BTCUSD,30,3,6,1,6.0,1.5,false,true,false,30.0,140,0.15,12.0,1.0,2.0,0.6,45,120,0.6,25.0,3,false,0.0,0,false,0,0,0.0,0.0,0.0,false,0,0.0,0.0,0
51,BTCUSD,30,3,6,1,6.0,1.5,false,true,false,30.0,140,0.15,12.0,1.0,2.0,0.6,45,120,0.6,30.0,3,false,0.0,0,false,0,0,0.0,0.0,0.0,false,0,0.0,0.0,0
52,BTCUSD,30,3,6,1,6.0,1.5,false,true,false,30.0,140,0.15,12.0,1.0,2.0,0.6,45,120,0.6,35.0,3,false,0.0,0,false,0,0,0.0,0.0,0.0,false,0,0.0,0.0,0
53,BTCUSD,30,3,6,1,6.0,1.5,false,true,false,30.0,140,0.15,16.0,1.0,2.0,0.6,45,120,0.6,20.0,3,false,0.0,0,false,0,0,0.0,0.0,0.0,false,0,0.0,0.0,0
54,BTCUSD,30,3,6,1,6.0,1.5,false,true,false,30.0,140,0.15,16.0,1.0,2.0,0.6,45,120,0.6,25.0,3,false,0.0,0,false,0,0,0.0,0.0,0.0,false,0,0.0,0.0,0
55,BTCUSD,30,3,6,1,6.0,1.5,false,true,false,30.0,140,0.15,16.0,1.0,2.0,0.6,45,120,0.6,30.0,3,false,0.0,0,false,0,0,0.0,0.0,0.0,false,0,0.0,0.0,0
56,BTCUSD,30,3,6,1,6.0,1.5,false,true,false,30.0,140,0.15,16.0,1.0,2.0,0.6,45,120,0.6,35.0,3,false,0.0,0,false,0,0,0.0,0.0,0.0,false,0,0.0,0.0,0
57,BTCUSD,30,3,6,1,6.0,1.5,false,true,false,30.0,140,0.15,20.0,1.0,2.0,0.6,45,120,0.6,20.0,3,false,0.0,0,false,0,0,0.0,0.0,0.0,false,0,0.0,0.0,0
58,BTCUSD,30,3,6,1,6.0,1.5,false,true,false,30.0,140,0.15,20.0,1.0,2.0,0.6,45,120,0.6,25.0,3,false,0.0,0,false,0,0,0.0,0.0,0.0,false,0,0.0,0.0,0
59,BTCUSD,30,3,6,1,6.0,1.5,false,true,false,30.0,140,0.15,20.0,1.0,2.0,0.6,45,120,0.6,30.0,3,false,0.0,0,false,0,0,0.0,0.0,0.0,false,0,0.0,0.0,0
60,BTCUSD,30,3,6,1,6.0,1.5,false,true,false,30.0,140,0.15,20.0,1.0,2.0,0.6,45,120,0.6,35.0,3,false,0.0,0,false,0,0,0.0,0.0,0.0,false,0,0.0,0.0,0
61,BTCUSD,30,3,6,1,6.0,1.5,false,true,false,30.0,140,0.15,24.0,1.0,2.0,0.6,45,120,0.6,20.0,3,false,0.0,0,false,0,0,0.0,0.0,0.0,false,0,0.0,0.0,0
