Case,Symbol,K_swing,N_bos,LookbackInternal,M_retest,EqTol,BOSBufferPoints,UseKillzones,UseRoundNumber,UseVSA,RNDelta,L_percentile,RiskPerTradePct,SL_BufferUSD,TP1_R,TP2_R,BE_Activate_R,PartialClosePct,TimeStopMinutes,MinProgressR,MaxSpreadUSD,MaxOpenPositions,UsePendingRetest,RetestOffsetUSD,PendingExpirySec,UseTrailing,TrailMode,TrailATRPeriod,TrailATRMult,TrailStepUSD,TrailStartRR,UsePyramid,MaxAdds,AddSpacingUSD,AddSizeFactor,CooldownSec,UseATRScaling,ATRScalingPeriod,SL_ATR_Mult,Retest_ATR_Mult,AddSpacing_ATR_Mult,TrailStep_ATR_Mult,MaxSpread_ATR_Mult,RNDelta_ATR_Mult
1,XAUUSD,50,6,12,3,0.2,2,true,true,false,0.28,150,0.5,0.6,1,2,0.8,50,5,0.5,0.55,1,false,0.07,60,false,0,14,2,0.3,1,false,0,0.4,0.6,0,true,14,0.6,0.25,0.8,0.5,0.15,0.4
2,XAUUSD,60,5,12,3,0.18,2,true,true,false,0.3,150,0.5,0.7,1,2,0.8,50,5,0.5,0.45,1,false,0.07,60,false,0,14,2,0.3,1,false,0,0.4,0.6,0,true,14,0.6,0.25,0.8,0.5,0.15,0.4
3,XAUUSD,60,5,12,3,0.18,2,true,true,false,0.3,150,0.5,0.7,1,2,1,50,5,0.5,0.48,1,false,0.07,60,false,0,14,2,0.3,1,false,0,0.4,0.6,0,true,14,0.6,0.25,0.8,0.5,0.15,0.4
4,XAUUSD,50,6,12,3,0.2,2,true,true,false,0.35,150,0.5,0.6,1,2,0.8,50,5,0.5,0.6,1,false,0.07,60,false,0,14,2,0.3,1,false,0,0.4,0.6,0,true,14,0.6,0.25,0.8,0.5,0.15,0.4
5,XAUUSD,50,6,12,3,0.2,2,true,true,false,0.25,150,0.5,0.6,1,2,0.8,50,5,0.5,0.55,1,false,0.07,60,false,0,14,2,0.3,1,false,0,0.4,0.6,0,true,14,0.6,0.25,0.8,0.5,0.15,0.4
6,XAUUSD,50,6,12,3,0.2,2,true,true,false,0.3,150,0.5,0.6,1,2,0.8,50,5,0.5,0.5,1,false,0.07,60,false,0,14,2,0.3,1,false,0,0.4,0.6,0,true,14,0.6,0.25,0.8,0.5,0.15,0.4
7,XAUUSD,50,6,12,2,0.2,2,true,true,false,0.3,150,0.5,0.6,1,2,0.8,50,5,0.5,0.6,1,false,0.07,60,false,0,14,2,0.3,1,false,0,0.4,0.6,0,true,14,0.6,0.25,0.8,0.5,0.15,0.4
8,XAUUSD,50,6,12,4,0.2,2,true,true,false,0.3,150,0.5,0.6,1,2,0.8,50,5,0.5,0.6,1,false,0.07,60,false,0,14,2,0.3,1,false,0,0.4,0.6,0,true,14,0.6,0.25,0.8,0.5,0.15,0.4
9,XAUUSD,50,6,12,3,0.22,1,true,true,false,0.4,150,0.5,0.6,1,2,0.8,50,5,0.5,0.6,1,false,0.07,60,false,0,14,2,0.3,1,false,0,0.4,0.6,0,true,14,0.6,0.25,0.8,0.5,0.15,0.4
10,XAUUSD,50,6,12,3,0.2,2,true,true,false,0.32,150,0.5,0.6,1,2,0.8,50,5,0.5,0.55,1,false,0.07,60,false,0,14,2,0.3,1,false,0,0.4,0.6,0,true,14,0.6,0.25,0.8,0.5,0.15,0.4
11,XAUUSD,50,6,12,3,0.2,2,true,true,false,0.3,150,0.5,0.6,1,2,1,50,5,0.5,0.55,1,false,0.07,60,false,0,14,2,0.3,1,false,0,0.4,0.6,0,true,14,0.6,0.25,0.8,0.5,0.15,0.4
