Case,Symbol,K_swing,N_bos,LookbackInternal,M_retest,EqTol,BOSBufferPoints,UseKillzones,UseRoundNumber,RNDelta,RiskPerTradePct,SL_BufferUSD,TP1_R,TP2_R,BE_Activate_R,PartialClosePct,TimeStopMinutes,MinProgressR,MaxSpreadUSD,MaxOpenPositions,UsePendingRetest,RetestOffsetUSD,PendingExpirySec,CooldownSec
1,XAUUSD,50,6,12,3,0.16,1,FALSE,TRUE,0.28,0.3,0.55,0.9,2,0.6,40,45,0.5,0.5,3,FALSE,0,0,0
2,XAUUSD,60,7,16,4,0.16,1,FALSE,TRUE,0.28,0.3,0.55,0.9,2,0.6,40,45,0.5,0.5,3,FALSE,0,0,0
3,XAUUSD,60,7,16,4,0.16,1,FALSE,TRUE,0.28,0.4,0.55,1.2,2.4,0.7,35,60,0.6,0.5,3,TRUE,0.04,2400,0
4,XAUUSD,55,6,14,3,0.16,1,FALSE,TRUE,0.28,0.4,0.55,1.2,2.4,0.7,35,60,0.6,0.5,3,FALSE,0,0,0
5,XAUUSD,60,7,16,4,0.16,1,FALSE,TRUE,0.28,0.4,0.55,1.2,2.4,0.7,35,60,0.6,0.5,3,FALSE,0,0,0
6,XAUUSD,50,6,12,3,0.16,1,FALSE,TRUE,0.28,0.4,0.55,1.2,2.4,0.7,35,60,0.6,0.5,3,FALSE,0,0,0
7,XAUUSD,45,5,11,2,0.16,1,FALSE,TRUE,0.28,0.5,0.55,1.5,3,0.8,30,90,0.7,0.5,2,FALSE,0,0,0
8,XAUUSD,60,7,16,4,0.16,1,FALSE,TRUE,0.28,0.5,0.55,1.5,3,0.8,30,90,0.7,0.5,2,FALSE,0,0,0
9,XAUUSD,50,6,12,3,0.18,2,TRUE,TRUE,0.3,0.5,0.6,1,2,0.8,50,5,0.5,0.55,1,FALSE,0.07,60,0
10,XAUUSD,60,5,12,3,0.18,2,TRUE,TRUE,0.3,0.5,0.7,1,2,0.8,50,5,0.5,0.45,1,FALSE,0.07,60,0
11,XAUUSD,60,5,12,3,0.18,2,TRUE,TRUE,0.3,0.5,0.7,1,2,1,50,5,0.5,0.48,1,FALSE,0.07,60,0
12,XAUUSD,50,6,12,3,0.2,2,TRUE,TRUE,0.35,0.5,0.6,1,2,0.8,50,5,0.5,0.6,1,FALSE,0.07,60,0
13,XAUUSD,50,6,12,3,0.2,2,TRUE,TRUE,0.25,0.5,0.6,1,2,0.8,50,5,0.5,0.55,1,FALSE,0.07,60,0
14,XAUUSD,50,6,12,3,0.2,2,TRUE,TRUE,0.3,0.5,0.6,1,2,0.8,50,5,0.5,0.5,1,FALSE,0.07,60,0
15,XAUUSD,50,6,12,2,0.2,2,TRUE,TRUE,0.3,0.5,0.6,1,2,0.8,50,5,0.5,0.6,1,FALSE,0.07,60,0
16,XAUUSD,50,6,12,4,0.2,2,TRUE,TRUE,0.3,0.5,0.6,1,2,0.8,50,5,0.5,0.6,1,FALSE,0.07,60,0
17,XAUUSD,50,6,12,3,0.22,1,TRUE,TRUE,0.4,0.5,0.6,1,2,0.8,50,5,0.5,0.6,1,FALSE,0.07,60,0
18,XAUUSD,50,6,12,3,0.2,2,TRUE,TRUE,0.32,0.5,0.6,1,2,0.8,50,5,0.5,0.55,1,FALSE,0.07,60,0
19,XAUUSD,50,6,12,3,0.2,2,TRUE,TRUE,0.3,0.5,0.6,1,2,1,50,5,0.5,0.55,1,FALSE,0.07,60,0
20,XAUUSD,55,6,12,3,0.2,1.5,TRUE,TRUE,0.3,0.5,0.6,1,2,0.8,50,5,0.5,0.55,1,FALSE,0.07,60,0
21,XAUUSD,50,6,12,3,0.2,2,TRUE,TRUE,0.28,0.5,0.6,1,2,0.8,50,5,0.5,0.55,1,FALSE,0.07,60,0
22,XAUUSD,50,6,12,3,0.18,2,TRUE,TRUE,0.3,0.5,0.65,1,2,0.8,50,5,0.5,0.55,1,FALSE,0.07,60,0
23,XAUUSD,55,5,12,3,0.18,2.5,TRUE,TRUE,0.3,0.5,0.65,1,2,0.8,50,5,0.5,0.55,1,FALSE,0.07,60,0
24,XAUUSD,55,5,12,3,0.18,2,TRUE,TRUE,0.3,0.5,0.65,1,2,0.8,50,5,0.5,0.48,1,FALSE,0.07,60,0
25,XAUUSD,60,6,12,3,0.22,2,TRUE,TRUE,0.35,0.5,0.6,1,2,0.8,50,5,0.5,0.6,1,FALSE,0.07,60,0
26,XAUUSD,50,6,12,3,0.2,2,TRUE,TRUE,0.3,0.5,0.6,1,2,0.8,50,4,0.6,0.55,1,FALSE,0.07,60,0
27,XAUUSD,55,5,12,3,0.18,2,TRUE,TRUE,0.3,0.5,0.65,1,2,1,40,5,0.5,0.55,1,FALSE,0.07,60,0
28,XAUUSD,65,5,12,2,0.18,2,TRUE,TRUE,0.3,0.4,0.7,1,2,0.8,40,5,0.6,0.6,1,FALSE,0.07,60,0
29,XAUUSD,50,6,12,3,0.22,1,TRUE,TRUE,0.4,0.5,0.55,1,2,0.8,50,5,0.5,0.65,1,FALSE,0.07,60,0
30,XAUUSD,55,6,12,2,0.22,1,TRUE,TRUE,0.4,0.5,0.55,1,2,0.8,50,5,0.5,0.65,1,FALSE,0.07,60,0
31,XAUUSD,60,6,12,3,0.22,2,TRUE,TRUE,0.37,0.5,0.6,1,2,0.8,50,5,0.5,0.6,1,FALSE,0.07,60,0
32,XAUUSD,55,5,12,3,0.22,2.5,TRUE,TRUE,0.4,0.5,0.6,1,2,0.8,50,5,0.5,0.6,1,FALSE,0.07,60,0
33,XAUUSD,50,6,12,3,0.22,1,TRUE,TRUE,0.4,0.5,0.55,1,2,0.8,50,5,0.5,0.5,1,FALSE,0.07,60,0
34,XAUUSD,55,6,12,3,0.22,1.5,TRUE,TRUE,0.37,0.5,0.55,1,2,0.8,50,5,0.5,0.6,1,FALSE,0.07,60,0
