Case,Symbol,K_swing,N_bos,LookbackInternal,M_retest,EqTol,BOSBufferPoints,UseKillzones,UseRoundNumber,RNDelta,RiskPerTradePct,SL_BufferUSD,TP1_R,TP2_R,BE_Activate_R,PartialClosePct,TimeStopMinutes,MinProgressR,MaxSpreadUSD,MaxOpenPositions,UsePendingRetest,RetestOffsetUSD,PendingExpirySec,CooldownSec,ATRScalingPeriod,SL_ATR_Mult,Retest_ATR_Mult,MaxSpread_ATR_Mult,RNDelta_ATR_Mult,PendingExpiryMinutes,UseHTFFilter,HTF_EMA_Period,EntryOffsetPips
1,XAUUSD,40,5,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,2.2,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,50,0.0
2,XAUUSD,40,5,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,2.5,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,50,0.0
3,XAUUSD,40,5,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,3.0,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,50,0.0
4,XAUUSD,40,6,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,2.2,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,50,0.0
5,XAUUSD,40,6,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,2.5,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,50,0.0
6,XAUUSD,40,6,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,3.0,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,50,0.0
7,XAUUSD,40,7,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,2.2,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,50,0.0
8,XAUUSD,40,7,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,2.5,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,50,0.0
9,XAUUSD,40,7,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,3.0,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,50,0.0
10,XAUUSD,40,8,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,2.2,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,50,0.0
11,XAUUSD,40,8,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,2.5,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,50,0.0
12,XAUUSD,40,8,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,3.0,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,50,0.0
13,XAUUSD,40,9,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,2.2,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,50,0.0
14,XAUUSD,40,9,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,2.5,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,50,0.0
15,XAUUSD,40,9,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,3.0,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,50,0.0
16,XAUUSD,45,5,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,2.2,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,50,0.0
17,XAUUSD,45,5,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,2.5,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,50,0.0
