Case,Symbol,K_swing,N_bos,LookbackInternal,M_retest,EqTol,BOSBufferPoints,UseKillzones,UseRoundNumber,UseVSA,RNDelta,L_percentile,RiskPerTradePct,SL_BufferUSD,TP1_R,TP2_R,BE_Activate_R,PartialClosePct,TimeStopMinutes,MinProgressR,MaxSpreadUSD,MaxOpenPositions,UsePendingRetest,RetestOffsetUSD,PendingExpirySec,UseTrailing,TrailMode,TrailATRPeriod,TrailATRMult,TrailStepUSD,TrailStartRR,UsePyramid,MaxAdds,AddSpacingUSD,AddSizeFactor,CooldownSec
1058,EURUSD,50,5,12,3,0.00014,0.5,true,true,false,0.00028,130,0.45,0.0077,1.5,3,0.8,35,120,0.8,0.0005,3,false,0,0,false,0,0,0,0,0,false,0,0,0,0
1106,EURUSD,50,5,12,3,0.00014,0.5,true,true,false,0.00028,130,0.8,0.0077,2.2,4,1,25,180,1,0.0005,2,false,0,0,false,0,0,0,0,0,false,0,0,0,0
1034,EURUSD,50,5,12,3,0.00014,0.5,true,true,false,0.00028,130,0.35,0.0077,1.2,2.5,0.7,40,90,0.7,0.0005,3,false,0,0,false,0,0,0,0,0,false,0,0,0,0
1082,EURUSD,50,5,12,3,0.00014,0.5,true,true,false,0.00028,130,0.6,0.0077,1.8,3.5,0.9,30,150,0.9,0.0005,2,false,0,0,false,0,0,0,0,0,false,0,0,0,0
1342,EURUSD,70,7,16,4,0.00014,0.5,true,false,false,0.00028,120,0.8,0.0077,2.2,4,1,25,180,1,0.0005,2,true,0.00035714,3600,false,0,0,0,0,0,false,0,0,0,0
1010,EURUSD,50,5,12,3,0.00014,0.5,true,true,false,0.00028,130,0.25,0.0077,0.9,2.2,0.6,45,60,0.6,0.0005,4,false,0,0,false,0,0,0,0,0,false,0,0,0,0
1341,EURUSD,60,6,14,3,0.00014,0.5,true,false,false,0.00028,120,0.8,0.0077,2.2,4,1,25,180,1,0.0005,2,true,0.00035714,3600,false,0,0,0,0,0,false,0,0,0,0
1222,EURUSD,70,7,16,4,0.00014,0.5,true,false,false,0.00028,120,0.8,0.0077,2.2,4,1,25,180,1,0.0005,2,true,0.00028571,2400,false,0,0,0,0,0,false,0,0,0,0
1221,EURUSD,60,6,14,3,0.00014,0.5,true,false,false,0.00028,120,0.8,0.0077,2.2,4,1,25,180,1,0.0005,2,true,0.00028571,2400,false,0,0,0,0,0,false,0,0,0,0
1359,GBPUSD,45,5,10,2,0.00016,0.5,true,true,false,0.00064,120,0.3,0.0088,1,2.4,0.6,45,60,0.6,0.0008,3,false,0,0,false,0,0,0,0,0,false,0,0,0,0
1407,GBPUSD,45,5,10,2,0.00016,0.5,true,true,false,0.00064,120,0.6,0.0088,1.6,3.2,0.8,35,120,0.8,0.0008,2,false,0,0,false,0,0,0,0,0,false,0,0,0,0
1479,GBPUSD,45,5,10,2,0.00016,0.5,true,true,false,0.00064,120,0.3,0.0088,1,2.4,0.6,45,60,0.6,0.0008,3,true,0.00034286,2400,false,0,0,0,0,0,false,0,0,0,0
1599,GBPUSD,45,5,10,2,0.00016,0.5,true,true,false,0.00064,120,0.3,0.0088,1,2.4,0.6,45,60,0.6,0.0008,3,true,0.00042857,3600,false,0,0,0,0,0,false,0,0,0,0
1503,GBPUSD,45,5,10,2,0.00016,0.5,true,true,false,0.00064,120,0.45,0.0088,1.3,2.8,0.7,40,90,0.7,0.0008,3,true,0.00034286,2400,false,0,0,0,0,0,false,0,0,0,0
1431,GBPUSD,45,5,10,2,0.00016,0.5,true,true,false,0.00064,120,0.75,0.0088,2,3.8,0.9,30,150,0.9,0.0008,2,false,0,0,false,0,0,0,0,0,false,0,0,0,0
1385,GBPUSD,65,7,14,4,0.00016,0.5,true,true,false,0.00064,120,0.45,0.0088,1.3,2.8,0.7,40,90,0.7,0.0008,3,false,0,0,false,0,0,0,0,0,false,0,0,0,0
1623,GBPUSD,45,5,10,2,0.00016,0.5,true,true,false,0.00064,120,0.45,0.0088,1.3,2.8,0.7,40,90,0.7,0.0008,3,true,0.00042857,3600,false,0,0,0,0,0,false,0,0,0,0
1384,GBPUSD,55,6,12,3,0.00016,0.5,true,true,false,0.00064,120,0.45,0.0088,1.3,2.8,0.7,40,90,0.7,0.0008,3,false,0,0,false,0,0,0,0,0,false,0,0,0,0
1912,USDJPY,35,4,8,2,0.014,0.5,false,false,false,0.028,120,0.6,0.055,1.8,3.5,0.9,30,150,0.9,0.05,2,true,0.00571429,2400,false,0,0,0,0,0,false,0,0,0,0
1759,USDJPY,65,7,14,3,0.014,0.5,true,true,false,0.028,140,0.45,0.055,1.4,3,0.8,35,120,0.8,0.05,3,false,0,0,false,0,0,0,0,0,false,0,0,0,0
