Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,in_allow_single_entry,in_anchor_tf,in_swing_bars,in_fvg_min_atr_factor,in_sl_atr_factor_from_entry,in_trailing_stop_atr_factor,in_enable_spread_filter,in_max_spread_points,in_enable_session_filter,in_session_start_hour,in_session_end_hour,in_enable_fifty_buffer,in_fifty_buffer,in_after_tp1_mode,in_trailing_stop_atr_factor_after_tp1,in_be_offset_points
1994,84.08,1038.23,2.550934,3.759709,4.344059,8.208066,0,21.0175,407,true,5,109,0.4,2.2,3.5,true,28,true,0,18,false,0.3,2,2.9,1
2174,78.52,1021.39,2.030596,2.710126,3.561332,7.118234,0,26.872,503,true,5,103,0.3,3,2.5,false,24,true,3,18,false,0.02,0,2.3,1
2544,73.64,1020.98,1.679243,2.413278,3.955447,6.235248,0,25.5858,608,true,5,100,0.3,2.6,3.2,true,40,true,0,18,false,0.18,1,2.1,1
2157,78.52,1018.19,2.024235,2.704768,3.550174,7.069908,0,26.872,503,true,5,103,0.3,3,2.5,false,24,true,3,18,false,0.4,1,2.1,0
901,83.39,1014.83,3.371528,3.797525,3.538459,8.098626,0,23.3651,301,true,5,103,0.3,3,2.5,false,24,true,3,18,true,0.16,2,3.6,0
1825,77.42,992.51,1.938496,2.670302,3.707823,7.241144,0,25.1996,512,true,5,101,0.3,2.6,3.2,true,40,true,3,18,false,0.3,2,2.9,0
2430,79.91,981.35,2.370411,2.979606,3.421722,6.943101,0,25.687,414,true,5,103,0.3,3,2.5,false,24,true,3,18,true,0.06,0,2.6,0
1910,79.91,981.35,2.370411,2.979606,3.421722,6.943101,0,25.687,414,true,5,103,0.3,3,2.5,false,24,true,3,18,true,0.06,0,2.6,3
1816,79.32,979.9,2.499745,3.661325,4.1,8.060354,0,21.5879,392,true,5,109,0.4,2.2,3.5,true,22,true,2,18,false,0.18,1,2.1,1
2012,71.72,977.04,1.558278,2.248534,3.65003,5.85124,0,26.8588,627,true,5,101,0.3,2.6,3.2,true,40,true,0,19,false,0.36,2,2.1,0
2046,90.8,974.56,2.4364,3.614935,5.097071,8.67218,0,18.2995,400,true,5,104,0.4,2,2,false,34,true,0,18,false,0.02,0,2.3,2
1517,80.24,972.81,2.299787,2.953591,3.634227,7.094078,0,24.0609,423,true,5,101,0.3,2.6,3.2,true,40,true,3,18,true,0.06,0,2.6,3
1822,90.8,967.16,2.4179,3.595079,5.058368,8.580193,0,18.2995,400,true,5,104,0.4,2,2,false,34,true,0,18,false,0.44,1,3.2,0
2555,90.36,967.08,2.4177,3.594307,5.05795,8.579521,0,18.2995,400,true,5,104,0.4,2,2,false,34,true,0,18,false,0,1,3.3,2
1067,76.03,962.88,1.823636,2.449946,3.357322,6.54396,0,27.344,528,true,5,103,0.3,2.9,2.5,false,24,true,3,19,false,0,0,3.9,2
2107,77.72,935.67,1.809807,2.597552,3.764363,7.566067,0,27.8168,517,true,5,101,0.3,2.9,3.1,false,32,true,0,16,false,0.08,0,3.4,3
2071,83.92,921.26,1.835179,2.82096,5.0719,10.644296,0,19.0263,502,true,5,92,0.3,2.1,2.1,true,30,true,1,16,false,0,0,2,3
2712,95.63,919.26,2.419105,3.544664,6.009806,9.000723,0,16.1131,380,true,5,100,0.4,2.8,3.3,false,32,true,0,18,true,0.06,0,2.6,0
2428,90.62,910.75,1.832495,2.632139,4.58239,7.911589,0,12.3486,497,true,5,92,0.3,2.1,2.1,true,30,true,1,18,true,0.06,0,2.6,2
2289,95.24,887.94,2.231005,3.391951,5.805047,9.56124,0,15.5291,398,true,5,100,0.4,2.7,2.8,true,22,true,2,18,false,0.18,1,2.1,1
2255,87.24,887.48,1.559719,2.323965,4.724911,6.894242,0,11.9234,569,true,5,90,0.3,2.8,3.3,false,32,true,0,17,false,0.18,1,2.1,1
2056,80,885.77,1.567735,2.318758,4.876514,6.718637,0,18.7556,565,true,5,92,0.3,2.9,2,true,32,true,0,17,false,0.02,0,2.3,2
