Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,InpEntryMethod,InpTrendTimeframe,InpEntryTimeframe,InpFastEMA_Period,InpSlow1EMA_Period,InpSlow2EMA_Period,InpStopLossPoints,InpTakeProfit1_Points,InpTakeProfit2_Points,InpUseTrailingSL,InpTrailingStartPoints,InpTrailingStopPoints,InpRiskPercent,InpUseDailyFilter,InpUseAdxFilter,InpUseDiCrossover,InpAdxPeriod,InpAdxThreshold,InpUseSessionFilter,InpBreakoutLookbackBars,InpBreakoutOffsetPoints,InpUseLossLimit
612,10006.99,6.99,2.33,350.5,1.420732,0.946844,0,0.0491,3,0,30,1,11,10,55,250,300,400,false,400,100,0.1,false,true,false,117,23,true,10,10,true
1877,10020.96,20.96,3.493333,263,1.300248,0.543263,0,0.1606,6,1,30,3,7,30,50,200,350,700,false,250,250,0.3,false,true,false,51,29,true,9,30,true
589,10020.96,20.96,2.328889,263,1.550296,2.130753,0,0.1349,9,1,30,2,15,20,25,250,400,900,false,250,250,0.5,false,true,false,74,23,true,14,20,false
9435,10011.94,11.94,3.98,150.25,1.081522,0.49652,0,0.1101,3,2,30,4,9,22,50,150,400,800,false,350,200,0.1,true,true,false,74,23,false,5,30,false
916,10011.47,11.47,3.823333,144.375,1.222814,0.587555,0,0.0936,3,0,30,3,13,28,50,200,250,900,false,500,200,0.1,true,true,true,50,29,true,20,20,true
624,10011.47,11.47,3.823333,144.375,1.222814,0.587555,0,0.0936,3,0,30,3,13,28,50,200,250,900,false,500,150,0.2,true,true,false,50,29,true,20,20,true
9487,10009.93,9.93,3.31,125.125,0.899457,0.437788,0,0.1102,3,2,30,4,9,22,50,150,400,600,false,350,200,0.1,true,true,false,74,23,false,5,30,false
9412,10009.93,9.93,3.31,125.125,0.899457,0.437788,0,0.1102,3,2,30,4,9,20,50,150,400,600,false,350,200,0.1,true,true,false,74,23,false,5,20,true
1117,10004.96,4.96,1.653333,125,0.489152,0.551102,0,0.1012,3,0,30,1,11,10,55,200,500,1000,false,100,200,0.1,false,true,false,117,23,true,10,10,true
726,10010.93,10.93,3.643333,122.444444,1.477027,0.576076,0,0.0739,3,1,30,1,12,14,60,250,400,700,false,450,250,0.4,true,true,false,56,29,true,9,50,true
2065,10018.92,18.92,3.153333,119.25,0.776046,0.405857,0,0.2432,6,1,30,3,7,30,50,300,450,1000,false,400,250,0.3,false,true,false,51,29,true,9,30,true
9429,10008.93,8.93,2.976667,112.625,0.808877,0.400578,0,0.1102,3,2,30,4,9,22,50,150,400,500,false,350,200,0.1,true,true,false,74,23,false,5,20,false
9295,10008.93,8.93,2.976667,112.625,0.808877,0.400578,0,0.1102,3,2,30,4,9,22,50,150,400,500,false,350,200,0.1,true,true,false,74,23,false,5,30,true
8998,10008.93,8.93,2.976667,112.625,0.808877,0.400578,0,0.1102,3,2,30,4,9,24,50,150,400,500,false,350,200,0.1,true,true,false,74,23,false,5,30,true
353,10014.42,14.42,1.602222,111.923077,1.060294,1.60118,0,0.1357,9,2,30,4,10,18,55,300,250,700,false,500,300,0.4,false,true,false,53,29,true,18,30,true
1170,10009.92,9.92,3.306667,111.222222,1.340541,0.542291,0,0.0739,3,1,30,1,12,14,60,250,400,600,false,500,200,0.4,true,true,true,56,29,true,16,50,true
313,10009.92,9.92,3.306667,111.222222,1.340541,0.542291,0,0.0739,3,1,30,1,12,14,60,250,400,600,false,500,200,0.4,true,true,false,56,29,true,16,50,true
1082,10008.44,8.44,2.813333,106.5,0.899787,0.522845,0,0.0936,3,0,30,3,13,28,50,300,250,600,false,150,150,0.2,true,true,false,50,29,true,20,20,true
1218,10009.9,9.9,1.65,100,0.944656,0.891577,0,0.1046,6,2,30,3,13,30,40,250,200,300,false,400,200,0.2,false,true,true,77,23,false,16,30,true
1395,10020.75,20.75,2.305556,84,1.144512,1.004897,0,0.1806,9,2,16385,3,13,22,55,250,300,400,false,500,100,0.2,false,true,true,55,26,true,15,10,false
1221,10007.44,7.44,2.48,83.666667,0.88361,0.514593,0,0.0841,3,0,30,1,5,16,25,300,450,300,false,150,250,0.2,true,true,true,68,26,true,6,40,false
1184,10006.48,6.48,2.16,82,0.690832,0.440165,0,0.0937,3,0,30,3,13,28,50,200,250,400,false,200,200,0.2,true,true,false,50,29,true,20,20,true
399,10006.48,6.48,2.16,82,0.690832,0.440165,0,0.0937,3,0,30,3,13,28,50,200,250,400,false,250,250,0.2,true,true,false,50,29,true,20,20,true
358,10006.93,6.93,2.31,78,0.819149,0.507647,0,0.0845,3,0,30,2,15,24,40,250,200,500,false,150,100,0.2,true,true,true,68,26,true,6,40,false
588,10007.26,7.26,2.42,73.6,0.916667,0.224254,0,0.0792,3,0,30,1,5,16,25,300,450,300,false,150,250,0.5,true,true,false,138,20,false,5,10,false
475,10005.42,5.42,1.806667,68.75,1.622754,1.052523,0,0.0334,3,2,30,4,9,18,60,200,250,300,false,500,200,0.5,true,true,true,59,29,true,18,30,false
1018,10017.61,17.61,2.935,68.730769,1.047591,0.78764,0,0.1678,6,2,16385,4,9,24,30,300,400,500,false,450,250,0.4,true,true,true,68,23,true,17,10,false
1195,10015.63,15.63,2.605,66.125,0.95073,0.637469,0,0.1641,6,1,16385,3,7,26,50,250,300,500,false,500,200,0.4,true,true,true,68,23,true,13,20,false
1105,10015.77,15.77,2.628333,64.08,1.238806,0.721105,0,0.1271,6,2,16385,3,13,24,60,300,500,300,false,100,150,0.3,true,true,false,67,23,true,14,20,false
818,10004.91,4.91,1.636667,62.375,1.47006,0.972268,0,0.0334,3,2,30,3,13,30,40,250,200,300,false,400,200,0.3,false,true,true,83,26,true,18,10,false
256,10010.93,10.93,1.214444,61.722222,2.110039,4.796565,0,0.0517,9,1,30,5,15,24,25,300,150,900,true,300,250,0.5,false,true,true,57,29,true,17,40,false
654,10008.86,8.86,1.476667,56.375,1.326347,1.7246,0,0.0667,6,0,30,3,13,28,50,200,250,400,false,250,250,0.1,true,true,false,100,20,true,17,20,true
740,10004.43,4.43,1.476667,56.375,1.35061,0.881091,0,0.0328,3,2,30,3,12,28,60,250,150,300,false,300,200,0.4,true,true,false,85,23,true,14,10,true
217,10004.91,4.91,1.636667,55.555556,0.482318,0.305939,0,0.1016,3,2,30,3,13,30,40,250,200,300,false,400,200,0.2,true,true,false,54,29,true,8,40,false
1297,10021.42,21.42,2.38,53.243902,1.220513,1.117722,0,0.175,9,0,16385,2,9,24,30,300,400,500,false,450,250,0.5,true,true,true,49,26,true,12,30,false
1475,10011.66,11.66,1.943333,49.583333,0.882665,0.567586,0,0.1319,6,2,16385,1,6,24,35,250,200,400,false,450,250,0.5,false,true,true,53,29,true,16,10,false
1212,10031.22,31.22,2.601667,45.6,2.06345,2.506416,0,0.151,12,2,30,4,12,18,40,200,350,600,false,100,250,0.4,false,true,true,47,29,true,5,40,true
643,10015.15,15.15,1.2625,41.945946,0.994747,2.051408,0,0.152,12,2,16385,2,13,20,60,200,350,300,false,450,250,0.5,true,true,true,49,26,true,10,40,false
714,10013.67,13.67,1.518889,41.205882,1.348126,1.387696,0,0.1012,9,2,16385,3,13,24,60,300,500,300,false,100,150,0.4,false,true,false,76,23,false,16,50,false
1714,10005.84,5.84,0.973333,37.5,0.784946,1.053296,0,0.0743,6,0,30,2,10,12,55,200,450,300,false,100,300,0.5,false,true,true,67,29,true,12,10,true
1744,10019.33,19.33,2.147778,34.912281,0.87387,0.96647,0,0.2206,9,0,16385,2,9,24,30,300,400,800,false,350,200,0.5,true,true,true,49,26,true,12,30,false
751,10010.69,10.69,1.781667,34.40625,1.054241,0.638186,0,0.1012,6,2,16385,3,13,24,60,300,500,300,false,100,150,0.2,false,true,true,62,29,true,16,50,false
923,10004.86,4.86,0.81,31.375,0.494908,0.856615,0,0.0981,6,0,30,3,13,28,50,200,250,900,true,500,250,0.1,true,true,false,100,20,true,17,20,true
1178,10004.83,4.83,0.805,25.15,0.676471,0.983201,0,0.0713,6,0,30,2,6,24,60,300,250,800,false,100,200,0.3,false,true,true,80,26,false,6,10,true
187,10004.83,4.83,0.805,25.15,0.676471,0.983201,0,0.0713,6,0,30,2,6,24,60,300,250,800,false,500,250,0.3,false,true,true,80,26,false,6,10,true
1464,10003.93,3.93,0.655,22.833333,0.345646,0.604898,0,0.1136,6,2,30,2,10,22,30,300,200,700,false,350,250,0.2,true,true,false,54,29,true,8,40,false
669,10004.35,4.35,0.483333,22.75,0.805556,2.085216,0,0.0539,9,1,30,5,14,30,50,250,150,1000,true,500,250,0.2,true,true,false,99,20,true,9,30,true
882,10003.26,3.26,1.086667,21.375,0.460452,0.488293,0,0.0707,3,2,30,3,11,14,50,150,350,800,false,400,200,0.3,false,true,true,83,26,true,18,10,false
661,10002.85,2.85,0.95,18.8125,0.439815,0.503068,0,0.0647,3,2,30,5,10,22,40,300,300,700,true,450,200,0.3,true,true,true,64,29,false,12,20,false
1883,10022.55,22.55,0.939583,18.617187,1.194386,4.062185,0,0.1884,24,2,30,3,13,30,45,250,150,400,false,450,250,0.4,true,true,true,41,26,true,15,40,true
1251,10002.83,2.83,0.943333,16.722222,0.191216,0.128368,0,0.1477,3,1,30,1,12,26,55,250,300,800,false,250,250,0.4,true,true,false,56,29,true,9,50,true
1578,10002.33,2.33,0.776667,15.5625,0.351964,0.386865,0,0.0661,3,2,30,5,6,20,55,300,250,900,false,100,200,0.1,true,true,false,79,26,true,16,50,true
7080,10108.12,108.12,2.2525,15.151832,7.868996,20.83171,0,0.136,48,2,30,4,7,26,50,250,250,700,true,350,100,0.5,true,true,false,31,29,false,12,20,false
7170,10108.12,108.12,2.2525,15.151832,7.868996,20.83171,0,0.136,48,2,30,4,7,26,45,250,250,700,true,350,100,0.4,true,true,true,31,29,false,12,20,false
6214,10108.12,108.12,2.2525,15.151832,7.868996,20.83171,0,0.136,48,2,30,4,7,26,50,250,250,700,true,350,100,0.4,true,true,true,31,29,false,12,20,false
