Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,InpTrendTimeframe,InpEntryTimeframe,InpFastEMA_Period,InpSlow1EMA_Period,InpSlow2EMA_Period,InpStopLossPoints,InpTakeProfit1_Points,InpTakeProfit2_Points,InpUseTrailingSL,InpTrailingStartPoints,InpTrailingStopPoints,InpMoneyManagement,InpRiskPercent,InpUseDailyFilter,InpDailyEmaPeriod,InpUseAdxFilter,InpUseDiCrossover,InpAdxPeriod,InpAdxThreshold,InpUseSessionFilter,InpTradingStartHour,InpTradingEndHour,InpBreakoutLookbackBars,InpBreakoutOffsetPoints,InpUseLossLimit
2636,3.77,74.92,3.121667,58.19084,2.585231,2.26699,0,5.3014,24,30,4,8,30,50,300,200,800,false,300,100,0,0.5,true,230,false,false,21,28,true,9,19,11,40,true
1844,3.84,86.2,3.591667,57.339869,3.008726,2.433842,0,5.1825,24,30,3,9,28,55,275,350,550,false,250,100,1,0.1,true,220,false,false,30,28,true,11,20,8,30,false
2495,3.84,86.2,3.591667,57.339869,3.008726,2.433842,0,5.1825,24,30,3,9,28,55,275,350,550,false,250,100,1,0.1,true,210,false,false,20,29,true,11,20,8,30,false
1973,11.46,80.27,2.675667,56.743056,2.748973,2.331813,0,5.3288,30,16385,3,9,29,50,300,325,700,false,300,150,0,0.1,true,240,false,false,29,26,true,8,21,14,10,false
1649,3.83,84.27,3.51125,56.078431,2.941361,2.381852,0,5.1895,24,30,3,9,28,55,300,325,550,false,400,150,1,0.2,true,230,false,false,30,28,true,11,20,8,30,false
1646,3.83,84.26,3.510833,56.071895,2.941012,2.387177,0,5.1896,24,30,3,9,28,55,300,325,550,false,400,150,1,0.2,true,230,false,false,21,28,true,11,21,10,30,true
1547,3.81,87.18,3.6325,55.830189,2.860236,2.400555,0,5.4409,24,30,3,11,28,55,300,350,800,false,300,200,1,0.5,true,210,false,false,22,26,true,11,22,15,40,false
2539,3.81,87.18,3.6325,55.830189,2.860236,2.400555,0,5.4409,24,30,3,11,28,55,300,350,800,false,300,200,1,0.5,true,220,false,false,22,28,true,11,22,15,40,true
2407,3.82,87.53,3.647083,55.70625,3.055148,2.409892,0,5.1137,24,30,3,11,28,55,300,350,800,false,300,200,1,0.5,true,210,false,false,29,22,true,11,21,10,30,true
1385,2.08,80.63,3.839524,54.046053,2.814311,2.012748,0,5.1896,21,30,3,9,28,55,300,325,550,false,400,150,1,0.2,true,230,false,false,30,27,true,12,20,11,30,true
2025,2.08,80.63,3.839524,54.046053,2.814311,2.012748,0,5.1896,21,30,3,9,28,55,300,325,550,false,400,150,1,0.2,true,220,false,false,30,27,true,12,20,11,30,true
2670,2.08,80.63,3.839524,54.046053,2.814311,2.012748,0,5.1896,21,30,3,9,28,55,300,325,550,false,250,100,1,0.1,true,240,false,false,30,27,true,12,20,11,30,true
2186,2.07,78.86,3.755238,52.881579,2.752531,1.971233,0,5.1969,21,30,3,9,28,55,300,300,550,false,400,150,1,0.2,true,230,false,false,30,27,true,12,20,11,30,true
1776,3.74,78.39,3.26625,51.574194,2.495702,2.219488,0,5.6807,24,30,3,11,27,55,300,325,550,false,400,150,1,0.2,true,200,false,false,22,26,true,11,22,15,40,false
2541,3.74,78.39,3.26625,51.574194,2.495702,2.219488,0,5.6807,24,30,3,11,27,55,300,325,550,false,400,150,1,0.2,true,200,false,false,20,22,true,11,22,15,40,false
2134,6.73,76.74,2.842222,51.156863,2.648033,2.464314,0,5.3207,27,30,4,8,30,50,300,200,800,false,300,100,0,0.5,true,200,false,false,20,22,true,10,22,15,40,true
2029,3.78,81.71,3.404583,50.823171,2.777362,2.27925,0,5.2701,24,30,4,8,29,50,250,350,700,false,350,100,1,0.5,true,220,false,false,30,28,true,11,20,13,30,false
2409,2.02,77.1,3.671429,50.10828,2.430643,1.889018,0,5.6896,21,30,3,9,27,55,300,325,700,false,350,100,1,0.3,true,230,false,false,30,27,true,12,20,11,30,true
732,0.93,69.35,3.852778,48.5,1.610169,1.449923,0,7.6428,18,30,2,11,29,55,200,250,750,false,400,200,0,0.4,true,240,false,false,29,26,true,8,21,8,40,false
2543,8.84,61,2.033333,34.333333,1.083097,1.682698,0,9.943,30,30,1,11,26,50,275,225,650,false,350,150,0,0.5,false,210,false,false,20,22,true,9,18,10,20,false
2582,6.66,78.48,2.906667,10.38756,2.667573,2.288111,0,5.379,27,30,4,8,29,50,225,350,550,false,250,100,1,0.1,true,190,false,false,27,22,true,9,21,13,30,false
635,6.32,69.89,2.588519,10.220317,2.225088,2.105042,0,5.6891,27,30,3,11,27,50,200,300,550,false,350,150,1,0.1,true,210,false,false,22,26,true,11,22,15,40,false
1962,6.32,69.89,2.588519,10.220317,2.225088,2.105042,0,5.6891,27,30,3,11,27,50,200,300,550,false,350,150,1,0.1,true,210,false,false,26,26,true,11,22,15,40,false
1769,6.22,75.55,2.798148,9.93026,2.405285,2.203291,0,5.6896,27,30,3,9,28,45,225,325,750,false,400,150,1,0.1,true,190,false,false,22,26,true,11,22,15,40,true
2127,6.22,75.55,2.798148,9.93026,2.405285,2.203291,0,5.6896,27,30,3,9,28,45,225,325,750,false,400,150,1,0.1,true,240,false,false,22,28,true,11,22,15,40,true
2517,6.22,75.55,2.798148,9.93026,2.405285,2.203291,0,5.6896,27,30,3,9,28,45,225,325,750,false,400,150,1,0.1,true,220,false,false,22,28,true,11,22,15,40,true
2546,6.22,75.55,2.798148,9.93026,2.405285,2.203291,0,5.6896,27,30,3,9,28,45,225,325,750,false,400,150,1,0.1,true,190,false,false,22,26,true,11,22,15,40,false
2613,6.22,75.55,2.798148,9.93026,2.405285,2.203291,0,5.6896,27,30,3,9,28,45,225,325,750,false,400,150,1,0.1,true,240,false,false,30,27,true,11,22,15,40,true
2402,6.65,77.73,2.878889,9.532382,2.64208,2.262576,0,5.3864,27,30,4,8,29,50,250,350,550,false,400,150,1,0.2,true,200,false,false,27,26,true,9,20,13,30,false
2091,10.66,82.49,2.749667,9.374619,2.706365,2.418847,0,5.4868,30,30,3,11,30,55,275,350,800,false,300,150,1,0.3,true,190,false,false,22,26,true,11,22,15,40,false
1476,3.74,75.59,3.149583,9.370986,2.552854,2.214447,0,5.3494,24,30,1,8,28,55,250,325,600,false,350,200,0,0.2,true,240,false,false,21,28,true,11,21,10,30,true
