Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,InpEntryMethod,InpTrendTimeframe,InpEntryTimeframe,InpFastEMA_Period,InpSlow1EMA_Period,InpSlow2EMA_Period,InpStopLossPoints,InpTakeProfit1_Points,InpTakeProfit2_Points,InpUseTrailingSL,InpTrailingStartPoints,InpTrailingStopPoints,InpMoneyManagement,InpRiskPercent,InpUseDailyFilter,InpDailyEmaPeriod,InpUseAdxFilter,InpUseDiCrossover,InpAdxPeriod,InpAdxThreshold,InpUseSessionFilter,InpTradingStartHour,InpTradingEndHour,InpBreakoutLookbackBars,InpBreakoutOffsetPoints,InpUseLossLimit
4773,90.01,77.2,1.513725,4.081836,5.313145,13.066846,0,2.5997,51,1,30,3,9,28,50,275,275,550,true,250,100,1,0.3,true,210,true,true,20,27,false,11,19,14,40,false
4207,90.01,77.2,1.513725,4.081836,5.313145,13.066846,0,2.5997,51,1,30,3,9,28,50,275,275,550,true,250,100,1,0.3,true,210,true,true,20,27,false,11,19,11,40,true
3306,73.05,76.55,1.701111,4.063225,3.671463,10.609317,0,3.7641,45,1,30,3,9,28,44,275,325,700,true,300,200,0,0.2,true,210,true,true,20,27,false,11,20,11,40,true
4797,90.01,75.83,1.486863,4.027146,5.218858,12.754626,0,2.605,51,1,30,3,9,28,50,275,300,650,true,250,100,0,0.5,true,210,true,true,20,27,false,8,22,14,40,false
6987,90.01,75.08,1.472157,3.997206,5.16724,12.818899,0,2.6014,51,1,30,3,9,26,54,275,250,650,true,250,100,1,0.2,true,200,true,true,20,27,false,10,22,14,40,false
3859,90.01,74.73,1.465294,3.983234,5.143152,12.430194,0,2.6139,51,1,30,3,9,26,50,275,325,650,true,250,100,0,0.5,true,210,true,true,20,27,false,10,22,14,40,false
9480,83.19,70.37,1.466042,3.921129,5.758592,14.277048,0,2.2157,48,1,30,3,10,26,44,200,250,650,true,250,100,1,0.3,true,210,true,true,20,28,false,12,21,15,40,false
4348,90.01,79.54,1.559608,3.913553,5.185137,12.86327,0,2.732,51,1,30,3,10,26,44,300,325,750,true,250,100,1,0.2,true,200,true,true,20,27,false,12,21,12,40,true
4188,90.01,79.54,1.559608,3.913553,5.185137,12.86327,0,2.732,51,1,30,3,10,26,44,300,325,750,true,250,100,1,0.2,true,200,true,true,20,27,false,9,21,12,40,true
4187,90.01,79.54,1.559608,3.913553,5.185137,12.86327,0,2.732,51,1,30,3,10,26,44,300,325,750,true,250,100,1,0.2,true,200,true,true,20,27,false,11,19,12,40,true
3346,73.01,72.71,1.615778,3.909564,3.407216,10.384594,0,3.8549,45,1,30,3,10,28,52,275,275,700,true,300,200,0,0.2,true,210,true,true,20,27,false,11,19,11,40,false
9252,83.19,68.86,1.434583,3.858447,5.635025,16.768391,0,2.2217,48,1,30,3,10,26,44,200,250,650,true,250,100,1,0.4,true,200,true,true,20,28,false,12,21,12,40,true
4528,83.19,68,1.416667,3.822748,5.564648,16.050429,0,2.2347,48,1,30,3,10,26,44,200,325,700,true,250,100,0,0.5,true,210,true,true,20,28,false,12,21,12,40,true
3338,72.97,74.03,1.645111,3.717695,3.284383,10.410818,0,4.0674,45,1,30,3,10,26,50,300,300,550,true,300,200,0,0.3,true,200,true,true,20,27,false,11,20,11,40,true
4416,90.01,72.83,1.428039,3.667766,4.747718,12.132039,0,2.7535,51,1,30,3,9,28,50,300,250,700,true,250,100,0,0.5,true,210,true,true,20,27,false,10,22,14,40,false
4289,90.01,72.79,1.427255,3.6663,4.745111,11.800139,0,2.763,51,1,30,3,9,26,50,300,350,650,true,250,100,0,0.5,true,210,true,true,20,27,false,10,19,14,40,false
8957,83.19,64.19,1.337292,3.664591,5.252864,13.077143,0,2.2448,48,1,30,3,9,28,48,200,250,550,true,250,100,1,0.2,true,210,true,true,20,28,false,12,21,15,40,false
2990,72.96,72.38,1.608444,3.657122,3.247196,10.19368,0,4.0216,45,1,30,3,9,26,54,300,325,600,true,250,200,1,0.2,true,210,true,true,20,27,false,10,19,14,40,false
4674,90.01,72.48,1.421176,3.654945,4.724902,11.766488,0,2.7668,51,1,30,3,9,28,50,300,325,650,true,250,100,0,0.5,true,210,true,true,20,27,false,10,19,14,40,true
4513,90.01,72.48,1.421176,3.654945,4.724902,11.766488,0,2.7668,51,1,30,3,9,26,50,300,325,650,true,250,100,0,0.5,true,210,true,true,20,27,false,10,19,14,40,false
4420,90.01,72.48,1.421176,3.654945,4.724902,11.766488,0,2.7668,51,1,30,3,9,28,50,300,325,650,true,250,100,0,0.5,true,210,true,true,20,27,false,11,19,11,40,true
4419,90.01,72.48,1.421176,3.654945,4.724902,11.766488,0,2.7668,51,1,30,3,9,26,50,300,325,650,true,250,100,0,0.5,true,210,true,true,20,27,false,10,19,14,40,true
4122,90.01,72.48,1.421176,3.654945,4.724902,11.766488,0,2.7668,51,1,30,3,9,28,50,300,325,750,true,250,100,1,0.2,true,210,true,true,20,27,false,9,19,11,40,false
4075,90.01,72.48,1.421176,3.654945,4.724902,11.766488,0,2.7668,51,1,30,3,9,26,50,300,325,650,true,250,100,0,0.5,true,210,true,true,20,27,false,10,22,14,40,false
3917,90.01,72.48,1.421176,3.654945,4.724902,11.766488,0,2.7668,51,1,30,3,9,28,50,300,325,750,true,250,100,1,0.2,true,200,true,true,20,27,false,10,22,14,40,false
4010,90.01,72.48,1.421176,3.654945,4.724902,11.766488,0,2.7668,51,1,30,3,9,28,50,300,325,750,true,250,100,1,0.2,true,210,true,true,20,27,false,8,19,14,40,false
4038,90.01,72.48,1.421176,3.654945,4.724902,11.766488,0,2.7668,51,1,30,3,9,28,50,300,325,750,true,250,100,1,0.2,true,210,true,true,20,27,false,11,20,11,40,false
4077,90.01,72.48,1.421176,3.654945,4.724902,11.766488,0,2.7668,51,1,30,3,9,26,50,300,325,650,true,250,100,0,0.5,true,210,true,true,20,27,false,11,20,11,40,true
3862,90.01,72.48,1.421176,3.654945,4.724902,11.766488,0,2.7668,51,1,30,3,9,26,50,300,325,750,true,250,100,1,0.2,true,200,true,true,20,27,false,10,22,14,40,false
2479,90.01,72.48,1.421176,3.654945,4.724902,11.766488,0,2.7668,51,1,30,3,9,26,50,300,325,650,true,250,100,0,0.5,true,210,true,true,20,27,false,10,20,14,40,false
5334,83.09,71.24,1.484167,3.613353,3.385932,11.41948,0,3.8759,48,1,30,3,9,28,50,300,250,550,true,300,100,0,0.5,true,200,true,true,20,27,false,10,22,14,40,false
4230,10.37,39.76,1.325333,3.588542,1.559216,7.050873,0,5.0705,30,1,30,3,9,28,52,250,275,550,true,300,200,0,0.3,false,230,true,false,29,30,false,8,21,13,40,false
8472,83.19,62.19,1.295625,3.581569,5.089198,15.268133,0,2.251,48,1,30,3,9,28,44,200,250,500,true,250,100,1,0.2,true,210,true,true,20,28,false,12,21,12,40,true
7339,83.19,62.19,1.295625,3.581569,5.089198,15.268133,0,2.251,48,1,30,3,9,29,48,200,250,500,true,250,100,1,0.3,true,200,true,true,20,28,false,10,21,14,40,true
7794,83.19,61.91,1.289792,3.569946,5.066285,14.743519,0,2.2639,48,1,30,3,10,30,44,200,325,550,true,250,100,1,0.2,true,200,true,true,20,28,false,11,22,12,40,false
3589,59.63,64.56,1.537143,3.565978,2.991659,10.012841,0,3.9291,42,1,30,4,10,28,52,275,275,650,true,300,200,0,0.2,true,210,true,false,24,27,false,11,19,11,40,true
8189,83.19,61.71,1.285625,3.561644,5.049918,15.139352,0,2.251,48,1,30,3,9,28,48,200,250,700,true,250,100,1,0.2,true,200,true,true,20,28,false,12,21,12,40,true
8112,83.19,61.71,1.285625,3.561644,5.049918,15.139352,0,2.251,48,1,30,3,9,28,44,200,250,700,true,250,100,0,0.4,true,210,true,true,20,28,false,11,22,12,40,true
2831,72.84,68.92,1.531556,3.530103,3.025461,9.880099,0,4.115,45,1,30,3,9,28,52,300,275,700,true,250,200,0,0.4,true,210,true,true,20,27,false,10,19,14,40,false
7557,83.19,60.94,1.269583,3.52968,4.986907,14.519364,0,2.2639,48,1,30,3,9,28,48,200,325,650,true,250,100,1,0.2,true,200,true,true,20,28,false,11,22,12,40,false
3930,72.79,68.42,1.520444,3.511747,2.969618,9.834389,0,4.1692,45,1,30,3,9,28,50,300,250,500,true,300,200,0,0.4,true,210,true,true,20,27,false,10,19,14,40,false
3433,98.03,83.63,1.393833,3.509151,3.32922,7.984332,0,4.6231,60,1,30,4,10,26,44,275,350,500,true,250,200,0,0.4,false,190,true,true,23,30,false,11,20,8,40,false
5349,99.83,104.2,1.389333,3.491035,3.765811,8.789272,0,4.971,75,1,30,4,10,26,44,275,275,550,true,300,200,0,0.3,false,200,true,false,25,25,false,11,19,10,40,true
2508,24.29,40.52,1.125556,3.469226,1.776414,4.208834,0,4.2135,36,1,30,3,9,28,52,250,275,500,false,400,100,1,0.3,true,210,true,true,20,27,false,10,22,14,40,false
6286,83.18,67.14,1.39875,3.459341,4.376793,12.096545,0,2.7859,48,1,30,3,9,28,52,300,275,600,true,250,100,1,0.3,true,200,true,true,20,28,false,12,21,12,40,true
