Case,Symbol,K_swing,N_bos,LookbackInternal,M_retest,EqTol,BOSBufferPoints,UseKillzones,UseRoundNumber,RNDelta,RiskPerTradePct,SL_BufferUSD,TP1_R,TP2_R,BE_Activate_R,PartialClosePct,TimeStopMinutes,MinProgressR,MaxSpreadUSD,MaxOpenPositions,UsePendingRetest,RetestOffsetUSD,PendingExpirySec,CooldownSec
1,XAUUSD,60,5,14,3,0.21,2.0,True,True,0.35,0.35,0.7,1.5,2.0,0.6,30,120,0.8,0.5,3,True,0.04,2400,0
2,XAUUSD,60,6,11,2,0.19,2.5,True,True,0.28,0.4,0.55,1.0,1.9833001345550998,0.9,35,60,0.6,0.5,3,False,0,0,0
3,XAUUSD,45,7,12,3,0.19,2.0,True,True,0.35,0.55,0.6,1.0,3.0,0.8,25,90,0.5,0.5,2,False,0,0,0
4,XAUUSD,50,7,12,4,0.19,1.5,True,True,0.28,0.4,0.7,1.8,3.6,0.7,50,90,0.8,0.5,3,False,0,0,0
5,XAUUSD,55,5,14,2,0.2,2.5,False,True,0.35,0.6,0.55,2.0,3.6,0.8,35,45,0.5,0.5,3,False,0,0,0
6,XAUUSD,60,6,14,3,0.16,1.5,False,True,0.32,0.3,0.65,1.5,3.0,0.9,40,90,0.5,0.5,3,False,0,0,0
7,XAUUSD,50,7,16,2,0.19,2.0,False,True,0.3,0.55,0.65,2.0,3.6,0.6,50,45,0.5,0.5,3,False,0,0,0
8,XAUUSD,50,7,16,2,0.2,1.5,True,True,0.28,0.6,0.65,2.0,2.4,0.8,30,120,0.8,0.5,3,False,0,0,0
9,XAUUSD,55,7,11,2,0.19,1.5,False,True,0.3,0.4,0.6,0.9,2.0,0.8025001489142669,30,120,0.6,0.5,2,False,0,0,0
10,XAUUSD,60,6,12,3,0.2,1.5,False,True,0.35,0.6,0.55,1.2,2.477108881259531,1.0,50,90,0.5,0.5,2,False,0,0,0
11,XAUUSD,45,7,12,2,0.17,1.0,False,True,0.32,0.5,0.55,2.0,3.6,0.5887892046856532,30,60,0.8,0.5,2,False,0,0,0
12,XAUUSD,60,6,11,2,0.18,1.5,False,True,0.32,0.5,0.55,2.0,3.6,0.9,25,60,0.5,0.5,3,False,0,0,0
13,XAUUSD,50,6,11,2,0.17,1.0,False,True,0.35,0.5,0.65,2.2,2.4,0.6,30,120,0.6,0.5,2,True,0.04,2400,0
14,XAUUSD,55,6,12,2,0.21,2.0,False,True,0.28,0.3,0.55,1.8,4.0,0.7,40,45,0.8,0.5,3,False,0,0,0
15,XAUUSD,60,7,12,2,0.19,1.0,False,True,0.32,0.5,0.55,1.8,3.6,0.7,35,60,0.6,0.5,3,False,0,0,0
16,XAUUSD,50,7,14,4,0.19,1.0,False,True,0.3,0.5,0.55,1.8,4.0,0.6,40,45,0.6,0.5,3,False,0,0,0
17,XAUUSD,55,7,14,3,0.21,1.0,False,True,0.28,0.35,0.6,1.2,2.4,0.8,30,120,0.6,0.5,2,False,0,0,0
18,XAUUSD,55,6,11,3,0.22,2.0,True,True,0.3,0.6,0.55,2.0,3.6,1.0,25,90,0.6,0.5,3,False,0,0,0
19,XAUUSD,45,6,11,2,0.17,1.0,True,True,0.32,0.45,0.6,1.2,2.4,0.7,25,120,0.5,0.5,2,False,0,0,0
20,XAUUSD,55,6,11,2,0.2,2.5,False,True,0.28,0.6,0.55,2.0,3.6,0.7,25,90,0.6,0.5,2,False,0,0,0
21,XAUUSD,55,7,11,2,0.19,2.5,False,True,0.3,0.4,0.6,1.5,4.0,0.7,40,90,0.5,0.5,3,False,0,0,0
22,XAUUSD,50,7,16,4,0.22,1.0,True,True,0.35,0.55,0.65,1.2,3.017185514766322,0.6,30,45,0.7,0.5,2,True,0.04,2400,0
23,XAUUSD,50,7,16,3,0.16,1.0,False,True,0.3,0.5,0.65,0.9,2.247388435407757,0.8,40,60,0.8,0.5,3,False,0,0,0
24,XAUUSD,55,5,16,3,0.16,1.0,False,True,0.3,0.5,0.6,1.8,4.0,0.7334975920649305,50,120,0.8,0.5,2,False,0,0,0
25,XAUUSD,55,7,11,2,0.2,2.0,False,True,0.3,0.35,0.6,1.0,2.4,0.6,25,90,0.7,0.5,3,False,0,0,0
26,XAUUSD,60,7,16,3,0.16,2.5,False,True,0.35,0.5,0.65,2.2,3.6,0.8,40,45,0.8,0.5,3,False,0,0,0
27,XAUUSD,60,7,12,4,0.16,2.5,True,True,0.3,0.35,0.65,1.2,3.0,1.0,40,45,0.8,0.5,2,False,0,0,0
28,XAUUSD,45,7,12,2,0.22,1.5,False,True,0.28,0.4,0.55,1.0,2.4578846314383713,0.7,50,45,0.8,0.5,3,False,0,0,0
29,XAUUSD,45,5,11,2,0.16,2.5,False,True,0.3,0.6,0.55,2.0,4.0,0.9,35,120,0.7,0.5,3,False,0,0,0
30,XAUUSD,50,7,14,4,0.2,2.5,True,True,0.28,0.5,0.55,2.0,3.6,0.8,25,60,0.8,0.5,3,False,0,0,0
31,XAUUSD,45,7,12,2,0.21,1.0,True,True,0.3,0.55,0.6,2.2,3.0,1.0,30,60,0.7,0.5,3,False,0,0,0
32,XAUUSD,60,5,16,2,0.19,2.0,False,True,0.35,0.3,0.65,1.2,3.109732006121121,0.9,35,45,0.5,0.5,2,False,0,0,0
33,XAUUSD,55,7,12,3,0.16,2.0,False,True,0.28,0.6,0.55,1.8,3.6,0.6,25,45,0.6,0.5,3,False,0,0,0
34,XAUUSD,45,6,11,4,0.19,2.0,False,True,0.28,0.5,0.6,2.2,4.0,0.7,40,45,0.6,0.5,3,False,0,0,0
35,XAUUSD,60,7,11,4,0.17,2.5,False,True,0.3,0.6,0.65,1.5,3.6,1.0,35,90,0.8,0.5,2,False,0,0,0
36,XAUUSD,50,7,16,3,0.19,2.0,True,True,0.28,0.6,0.55,1.8,4.0,0.6,30,60,0.7,0.5,2,False,0,0,0
37,XAUUSD,60,7,12,4,0.19,2.5,False,True,0.35,0.6,0.65,1.2,2.0,1.0,50,45,0.7,0.5,3,False,0,0,0
38,XAUUSD,55,7,16,2,0.19,2.0,True,True,0.28,0.35,0.65,0.9,2.4,0.5767302083909109,50,45,0.5,0.5,3,False,0,0,0
39,XAUUSD,60,6,12,4,0.22,2.0,False,True,0.3,0.4,0.65,1.8,2.0,0.9,30,60,0.5,0.5,3,False,0,0,0
40,XAUUSD,50,5,14,2,0.18,2.0,False,True,0.28,0.4,0.65,1.8,4.0,0.7,30,90,0.5,0.5,3,False,0,0,0
41,XAUUSD,45,7,12,4,0.2,1.5,True,True,0.3,0.55,0.65,1.5,2.4,0.7,35,45,0.7,0.5,3,False,0,0,0
42,XAUUSD,55,7,12,4,0.22,2.0,False,True,0.32,0.5,0.55,2.2,3.6,0.8,35,45,0.5,0.5,2,False,0,0,0
43,XAUUSD,50,7,16,2,0.2,1.0,False,True,0.3,0.6,0.65,1.8,3.0,0.9,25,90,0.7,0.5,2,False,0,0,0
44,XAUUSD,45,6,16,3,0.2,2.0,False,True,0.35,0.55,0.7,2.2,3.0,0.7,25,45,0.7,0.5,3,False,0,0,0
45,XAUUSD,60,5,16,2,0.18,2.0,False,True,0.28,0.4,0.65,1.0,3.0,0.7,30,120,0.6,0.5,2,False,0,0,0
46,XAUUSD,50,5,11,4,0.2,1.5,False,True,0.32,0.45,0.6,0.9,2.139387511356162,0.8,50,60,0.8,0.5,2,False,0,0,0
47,XAUUSD,55,7,16,4,0.17,1.0,False,True,0.28,0.5,0.6,1.8,4.0,0.6,25,120,0.5,0.5,3,False,0,0,0
48,XAUUSD,50,6,16,4,0.18,1.0,False,True,0.35,0.55,0.55,2.0,3.6,0.9,35,45,0.8,0.5,3,False,0,0,0
49,XAUUSD,50,7,12,2,0.22,2.0,False,True,0.35,0.3,0.7,0.9,2.0,0.7,40,45,0.8,0.5,2,False,0,0,0
50,XAUUSD,55,5,11,2,0.2,1.5,True,True,0.3,0.55,0.7,2.0,3.0,1.0,40,120,0.7,0.5,2,False,0,0,0
51,XAUUSD,60,7,16,4,0.21,2.0,True,True,0.28,0.55,0.7,1.0,2.0,0.7,30,45,0.7,0.5,3,False,0,0,0
52,XAUUSD,45,7,16,3,0.16,1.0,False,True,0.3,0.55,0.55,1.0,2.4,0.6,40,60,0.5,0.5,2,False,0,0,0
53,XAUUSD,50,7,16,4,0.18,2.0,True,True,0.35,0.6,0.55,2.2,4.0,0.6,25,120,0.7,0.5,3,False,0,0,0
54,XAUUSD,45,7,12,4,0.2,1.5,True,True,0.32,0.5,0.6,2.0,4.0,0.6,35,120,0.8,0.5,2,False,0,0,0
55,XAUUSD,45,6,16,2,0.17,1.5,False,True,0.3,0.45,0.7,1.2,3.327315614967071,0.8,30,120,0.6,0.5,3,False,0,0,0
56,XAUUSD,50,7,16,2,0.17,1.0,False,True,0.28,0.35,0.6,1.2,3.0,1.0,25,90,0.7,0.5,3,False,0,0,0
57,XAUUSD,45,7,16,2,0.19,1.5,False,True,0.3,0.3,0.6,2.2,4.0,1.0,30,120,0.5,0.5,3,False,0,0,0
