Case,Symbol,K_swing,N_bos,LookbackInternal,M_retest,EqTol,BOSBufferPoints,UseKillzones,UseRoundNumber,UseVSA,RNDelta,L_percentile,RiskPerTradePct,SL_BufferUSD,TP1_R,TP2_R,BE_Activate_R,PartialClosePct,TimeStopMinutes,MinProgressR,MaxSpreadUSD,MaxOpenPositions,UsePendingRetest,RetestOffsetUSD,PendingExpirySec,UseTrailing,TrailMode,TrailATRPeriod,TrailATRMult,TrailStepUSD,TrailStartRR,UsePyramid,MaxAdds,AddSpacingUSD,AddSizeFactor,CooldownSec
230,XAUUSD,40,4,10,2,5.00*pip,1.00*pipPoints,TRUE,FALSE,FALSE,3.0*pip,110,0.3,8.0*pip,1.5,3,1.2,40,15,0.5,0,3,FALSE,3.0*pip,60,FALSE,0,14,0,0,0,FALSE,0,0,0.6,45
518,XAUUSD,60,6,12,2,1.00*pip,2.50*pipPoints,TRUE,TRUE,FALSE,2.5*pip,220,1,16.0*pip,1.2,2,0.8,40,10,1,0,2,FALSE,2.0*pip,90,TRUE,1,18,1.2,0,0.8,TRUE,1,0.3,0.7,15
590,XAUUSD,40,5,15,2,5.00*pip,2.50*pipPoints,TRUE,TRUE,FALSE,2.5*pip,220,0.7,10.0*pip,3,6,1.2,40,0,0.5,0,1,FALSE,3.0*pip,90,TRUE,1,18,1.6,0,0.8,TRUE,2,0.8,0.7,15
608,XAUUSD,100,3,10,3,1.50*pip,3.00*pipPoints,FALSE,TRUE,TRUE,4.0*pip,220,0.5,16.0*pip,1.5,3,1.2,40,5,0.5,0,2,TRUE,1.5*pip,30,TRUE,1,21,1.4,0,1.2,FALSE,0,0,0.6,0
758,XAUUSD,70,6,10,3,5.00*pip,1.00*pipPoints,FALSE,TRUE,FALSE,3.5*pip,130,0.7,12.0*pip,1,2,0.8,30,5,0.5,0,3,FALSE,4.0*pip,45,TRUE,2,14,0,0.35,1,FALSE,0,0,0.6,45
836,XAUUSD,50,8,8,1,3.00*pip,2.50*pipPoints,TRUE,TRUE,FALSE,3.5*pip,120,0.5,16.0*pip,1.2,2,1.2,50,5,0.8,0,2,FALSE,2.5*pip,90,FALSE,0,14,0,0,0,FALSE,0,0,0.6,30
902,XAUUSD,100,3,15,1,1.50*pip,3.00*pipPoints,TRUE,FALSE,FALSE,5.0*pip,150,0.7,20.0*pip,3,6,1.2,30,0,1,0,3,TRUE,3.0*pip,60,TRUE,1,18,2,0,0.8,FALSE,0,0,0.6,0
992,XAUUSD,50,7,18,4,1.50*pip,1.50*pipPoints,FALSE,TRUE,FALSE,4.0*pip,200,0.3,16.0*pip,2,4,1,30,5,0.8,0,3,TRUE,1.5*pip,30,TRUE,1,14,1.4,0,1.2,FALSE,0,0,0.6,15
1016,XAUUSD,70,7,8,5,1.00*pip,1.00*pipPoints,TRUE,TRUE,FALSE,3.5*pip,220,0.3,12.0*pip,2,4,0.8,40,15,0.5,0,2,TRUE,1.5*pip,45,TRUE,1,14,1.6,0,1.2,TRUE,1,0.6,0.5,15
1166,XAUUSD,70,4,18,4,1.50*pip,2.00*pipPoints,FALSE,TRUE,TRUE,4.0*pip,200,0.5,8.0*pip,1.5,3,1.2,30,10,0.8,0,2,FALSE,2.5*pip,60,TRUE,1,21,2,0,1,TRUE,1,0.8,0.6,30
1190,XAUUSD,40,8,12,3,1.50*pip,2.50*pipPoints,FALSE,TRUE,FALSE,5.0*pip,220,0.5,8.0*pip,2.5,5,0.8,40,5,0.8,0,3,TRUE,2.5*pip,30,TRUE,2,14,0,0.3,1,TRUE,1,0.4,0.5,15
1256,XAUUSD,100,7,18,1,1.00*pip,3.00*pipPoints,FALSE,TRUE,TRUE,3.0*pip,130,1.2,20.0*pip,1,2,0.8,30,0,0.8,0,1,TRUE,4.0*pip,90,TRUE,1,21,1.4,0,0.8,TRUE,1,0.4,0.7,45
1412,XAUUSD,100,3,20,5,2.00*pip,2.50*pipPoints,TRUE,TRUE,TRUE,3.5*pip,120,0.3,16.0*pip,2.5,5,1.2,50,15,0.5,0,3,TRUE,3.0*pip,45,TRUE,1,21,1.4,0,1.2,FALSE,0,0,0.6,45
1790,XAUUSD,80,8,10,5,1.00*pip,3.00*pipPoints,TRUE,FALSE,FALSE,3.5*pip,150,0.7,20.0*pip,2.5,5,0.8,40,15,0.5,0,1,TRUE,2.0*pip,90,TRUE,2,14,0,0.25,1,TRUE,2,0.6,0.6,60
1874,XAUUSD,40,5,10,1,5.00*pip,1.50*pipPoints,TRUE,TRUE,FALSE,2.5*pip,220,1,12.0*pip,1.2,2,0.8,40,15,0.8,0,3,FALSE,2.0*pip,30,TRUE,1,18,1.6,0,1,TRUE,2,1,0.7,60
1886,XAUUSD,35,5,8,1,2.00*pip,1.50*pipPoints,TRUE,TRUE,TRUE,5.0*pip,110,0.7,16.0*pip,3,6,0.8,40,0,1,0,1,TRUE,3.0*pip,60,TRUE,2,14,0,0.5,0.8,TRUE,1,0.4,0.6,45
1916,XAUUSD,60,8,12,4,3.00*pip,1.00*pipPoints,FALSE,FALSE,TRUE,5.0*pip,110,0.2,16.0*pip,3,6,1,30,10,0.5,0,2,FALSE,3.0*pip,30,TRUE,1,18,1.6,0,1,TRUE,2,0.6,0.7,45
2078,XAUUSD,50,6,20,1,5.00*pip,1.00*pipPoints,TRUE,TRUE,TRUE,5.0*pip,170,0.7,12.0*pip,2,4,0.8,30,5,1,0,2,FALSE,3.0*pip,30,TRUE,1,18,1.4,0,1.2,TRUE,2,0.4,0.5,30
2144,XAUUSD,80,6,20,4,2.00*pip,2.00*pipPoints,TRUE,FALSE,TRUE,5.0*pip,220,0.7,20.0*pip,1,2,1.2,30,5,0.5,0,2,TRUE,4.0*pip,60,FALSE,0,14,0,0,0,TRUE,1,0.4,0.6,45
