PresetID,Symbol,ProfitFactor,NetProfit,TotalTrades,WinRate,AvgWin,AvgLoss,LargestWin,LargestLoss,Expectancy,MaxDD,TP1_R,TP2_R,TrailMode,UsePyramid,RiskPerTradePct,Tag,Source
108,XAUUSD,4.01,8978.55,308,68.8,56.4,-31.03,,,,,,,0,0,0.4,,user_best_Q3
110,XAUUSD,4.3,8936.22,274,63.5,66.91,-27.06,,,,,,,0,0,0.4,,user_best_Q3
179,XAUUSD,3.5,8725.56,259,73.4,64.31,-50.62,,,,,,,0,0,0.6,,user_best_Q3
290,XAUUSD,9.37,8689.82,110,71.8,123.14,-33.48,,,,,,,0,0,0.4,,user_best_Q3
109,XAUUSD,4.44,8553.77,160,54.4,126.88,-34.03,,,,,,,0,0,0.4,,user_best_Q3
107,XAUUSD,3.61,8518.28,268,63.1,69.72,-32.97,,,,,,,0,0,0.4,,user_best_Q3
181,XAUUSD,3.56,8390.6,206,66,85.8,-46.82,,,,,,,0,0,0.6,,user_best_Q3
12597,XAUUSD,3.56,8271.64,95,16.8,719.23,-40.96,5768.09,-138.04,,,2,4,1,1,0.7,,chatGPT_3000
182,XAUUSD,3.19,7920.33,239,66.9,72.06,-45.69,,,,,,,0,0,0.6,,user_best_Q3
143,XAUUSD,3.96,7823.27,229,71.2,64.23,-40.09,,,,,,,0,0,0.5,,user_best_Q3
72,XAUUSD,5.2,7771.98,317,72.6,41.83,-21.25,,,,,,,0,0,0.3,,user_best_Q3
12147,XAUUSD,2.36,7735.18,112,16.1,746.52,-60.66,5047.2,-170.92,,,3,6,1,1,1,,chatGPT_3000
144,XAUUSD,3.74,7734.75,219,67.6,71.35,-39.79,,,,,,,0,0,0.5,,user_best_Q3
145,XAUUSD,4.03,7625.49,190,65.3,81.77,-38.09,,,,,,,0,0,0.5,,user_best_Q3
74,XAUUSD,5.03,7420.56,266,62.8,55.45,-18.59,,,,,,,0,0,0.3,,user_best_Q3
254,XAUUSD,12.58,7385.07,99,74.7,108.42,-25.51,,,,,,,0,0,0.3,,user_best_Q3
146,XAUUSD,3.6,7153.24,223,65,68.29,-35.24,,,,,,,0,0,0.5,,user_best_Q3
71,XAUUSD,3.8,6528.09,242,60.7,60.27,-24.54,,,,,,,0,0,0.3,,user_best_Q3
73,XAUUSD,4.53,6268.83,142,47.2,120.1,-23.71,,,,,,,0,0,0.3,,user_best_Q3
12243,XAUUSD,5.97,6081.19,130,65.4,85.94,-27.19,2269.57,-72.12,,,2,4,0,1,0.7,,chatGPT_3000
11913,XAUUSD,1.76,5853.58,358,45.3,83.56,-39.2,6182.84,-145.36,,,1,2,0,1,0.7,,chatGPT_3000
