Case,Symbol,K_swing,N_bos,LookbackInternal,M_retest,EqTol,BOSBufferPoints,UseKillzones,UseRoundNumber,UseVSA,RNDelta,L_percentile,RiskPerTradePct,SL_BufferUSD,TP1_R,TP2_R,BE_Activate_R,PartialClosePct,TimeStopMinutes,MinProgressR,MaxSpreadUSD,MaxOpenPositions,UsePendingRetest,RetestOffsetUSD,PendingExpirySec,UseTrailing,TrailMode,TrailATRPeriod,TrailATRMult,TrailStepUSD,TrailStartRR,UsePyramid,MaxAdds,AddSpacingUSD,AddSizeFactor,CooldownSec
4000,EURUSD,45,5,10,2,0.00012000,0.40,false,true,true,0.00026400,120,0.30,0.0045,1.0,2.0,0.8,0,60,0.5,0.0003,2,true,0.00018000,900,false,0,14,0.00,0.00000,0.0,true,1,0.00045,0.45,0
4001,EURUSD,45,5,10,3,0.00016000,0.40,true,true,false,0.00040000,130,0.45,0.0055,1.2,2.0,1.0,35,120,0.7,0.0004,3,false,0.00000000,1800,true,2,21,1.50,0.00020,1.0,false,0,0.00000,0.00,300
4002,EURUSD,45,5,12,2,0.00020000,0.40,true,true,false,0.00056000,140,0.60,0.0065,1.4,2.0,0.8,50,180,0.9,0.0005,2,false,0.00000000,2400,false,0,14,0.00,0.00000,0.0,false,0,0.00000,0.00,600
4003,EURUSD,45,5,12,3,0.00024000,0.40,true,true,false,0.00052800,150,0.30,0.0075,1.0,2.4,1.0,0,60,0.5,0.0003,3,true,0.00018000,900,false,0,14,0.00,0.00000,0.0,false,0,0.00000,0.00,0
4004,EURUSD,45,5,14,2,0.00012000,0.50,false,true,false,0.00030000,120,0.45,0.0045,1.2,2.4,0.8,35,120,0.7,0.0004,2,false,0.00000000,1800,false,0,14,0.00,0.00000,0.0,false,0,0.00000,0.00,300
4005,EURUSD,45,5,14,3,0.00016000,0.50,true,true,false,0.00044800,130,0.60,0.0055,1.4,2.4,1.0,50,180,0.9,0.0005,3,false,0.00000000,2400,true,2,21,1.80,0.00025,1.2,true,2,0.00060,0.60,600
4006,EURUSD,45,5,16,2,0.00020000,0.50,true,true,false,0.00044000,140,0.30,0.0065,1.0,2.8,0.8,0,60,0.5,0.0003,2,true,0.00018000,900,false,0,14,0.00,0.00000,0.0,false,0,0.00000,0.00,0
4007,EURUSD,45,5,16,3,0.00024000,0.50,true,true,true,0.00060000,150,0.45,0.0075,1.2,2.8,1.0,35,120,0.7,0.0004,3,false,0.00000000,1800,false,0,14,0.00,0.00000,0.0,false,0,0.00000,0.00,300
4008,EURUSD,45,6,10,2,0.00012000,0.60,false,true,false,0.00033600,120,0.60,0.0045,1.4,2.8,0.8,50,180,0.9,0.0005,2,false,0.00000000,2400,false,0,14,0.00,0.00000,0.0,false,0,0.00000,0.00,600
4009,EURUSD,45,6,10,3,0.00016000,0.60,true,true,false,0.00035200,130,0.30,0.0055,1.0,2.0,1.0,0,60,0.5,0.0003,3,true,0.00018000,900,true,2,14,1.20,0.00015,0.8,false,0,0.00000,0.00,0
4010,EURUSD,45,6,12,2,0.00020000,0.60,true,true,false,0.00050000,140,0.45,0.0065,1.2,2.0,0.8,35,120,0.7,0.0004,2,false,0.00000000,1800,false,0,14,0.00,0.00000,0.0,true,1,0.00045,0.45,300
4011,EURUSD,45,6,12,3,0.00024000,0.60,true,true,false,0.00067200,150,0.60,0.0075,1.4,2.0,1.0,50,180,0.9,0.0005,3,false,0.00000000,2400,false,0,14,0.00,0.00000,0.0,false,0,0.00000,0.00,600
4012,EURUSD,45,6,14,2,0.00012000,0.40,false,true,false,0.00026400,120,0.30,0.0045,1.0,2.4,0.8,0,60,0.5,0.0003,2,true,0.00018000,900,false,0,14,0.00,0.00000,0.0,false,0,0.00000,0.00,0
4013,EURUSD,45,6,14,3,0.00016000,0.40,true,true,false,0.00040000,130,0.45,0.0055,1.2,2.4,1.0,35,120,0.7,0.0004,3,false,0.00000000,1800,true,2,21,1.50,0.00020,1.0,false,0,0.00000,0.00,300
4014,EURUSD,45,6,16,2,0.00020000,0.40,true,true,true,0.00056000,140,0.60,0.0065,1.4,2.4,0.8,50,180,0.9,0.0005,2,false,0.00000000,2400,false,0,14,0.00,0.00000,0.0,false,0,0.00000,0.00,600
4015,EURUSD,45,6,16,3,0.00024000,0.40,true,true,false,0.00052800,150,0.30,0.0075,1.0,2.8,1.0,0,60,0.5,0.0003,3,true,0.00018000,900,false,0,14,0.00,0.00000,0.0,true,2,0.00060,0.60,0
4016,EURUSD,45,7,10,2,0.00012000,0.50,false,true,false,0.00030000,120,0.45,0.0045,1.2,2.8,0.8,35,120,0.7,0.0004,2,false,0.00000000,1800,false,0,14,0.00,0.00000,0.0,false,0,0.00000,0.00,300
4017,EURUSD,45,7,10,3,0.00016000,0.50,true,true,false,0.00044800,130,0.60,0.0055,1.4,2.8,1.0,50,180,0.9,0.0005,3,false,0.00000000,2400,true,2,21,1.80,0.00025,1.2,false,0,0.00000,0.00,600
4018,EURUSD,45,7,12,2,0.00020000,0.50,true,true,false,0.00044000,140,0.30,0.0065,1.0,2.0,0.8,0,60,0.5,0.0003,2,true,0.00018000,900,false,0,14,0.00,0.00000,0.0,false,0,0.00000,0.00,0
4019,EURUSD,45,7,12,3,0.00024000,0.50,true,true,false,0.00060000,150,0.45,0.0075,1.2,2.0,1.0,35,120,0.7,0.0004,3,false,0.00000000,1800,false,0,14,0.00,0.00000,0.0,false,0,0.00000,0.00,300
4020,EURUSD,45,7,14,2,0.00012000,0.60,false,true,false,0.00033600,120,0.60,0.0045,1.4,2.0,0.8,50,180,0.9,0.0005,2,false,0.00000000,2400,false,0,14,0.00,0.00000,0.0,true,1,0.00045,0.45,600
4021,EURUSD,45,7,14,3,0.00016000,0.60,true,true,true,0.00035200,130,0.30,0.0055,1.0,2.4,1.0,0,60,0.5,0.0003,3,true,0.00018000,900,true,2,14,1.20,0.00015,0.8,false,0,0.00000,0.00,0
4022,EURUSD,45,7,16,2,0.00020000,0.60,true,true,false,0.00050000,140,0.45,0.0065,1.2,2.4,0.8,35,120,0.7,0.0004,2,false,0.00000000,1800,false,0,14,0.00,0.00000,0.0,false,0,0.00000,0.00,300
4023,EURUSD,45,7,16,3,0.00024000,0.60,true,true,false,0.00067200,150,0.60,0.0075,1.4,2.4,1.0,50,180,0.9,0.0005,3,false,0.00000000,2400,false,0,14,0.00,0.00000,0.0,false,0,0.00000,0.00,600
4024,EURUSD,55,5,10,2,0.00012000,0.40,false,true,false,0.00026400,120,0.30,0.0045,1.0,2.8,0.8,0,60,0.5,0.0003,2,true,0.00018000,900,false,0,14,0.00,0.00000,0.0,false,0,0.00000,0.00,0
4025,EURUSD,55,5,10,3,0.00016000,0.40,true,true,false,0.00040000,130,0.45,0.0055,1.2,2.8,1.0,35,120,0.7,0.0004,3,false,0.00000000,1800,true,2,21,1.50,0.00020,1.0,true,2,0.00060,0.60,300
4026,EURUSD,55,5,12,2,0.00020000,0.40,true,true,false,0.00056000,140,0.60,0.0065,1.4,2.8,0.8,50,180,0.9,0.0005,2,false,0.00000000,2400,false,0,14,0.00,0.00000,0.0,false,0,0.00000,0.00,600
4027,EURUSD,55,5,12,3,0.00024000,0.40,true,true,false,0.00052800,150,0.30,0.0075,1.0,2.0,1.0,0,60,0.5,0.0003,3,true,0.00018000,900,false,0,14,0.00,0.00000,0.0,false,0,0.00000,0.00,0
4028,EURUSD,55,5,14,2,0.00012000,0.50,false,true,true,0.00030000,120,0.45,0.0045,1.2,2.0,0.8,35,120,0.7,0.0004,2,false,0.00000000,1800,false,0,14,0.00,0.00000,0.0,false,0,0.00000,0.00,300
4029,EURUSD,55,5,14,3,0.00016000,0.50,true,true,false,0.00044800,130,0.60,0.0055,1.4,2.0,1.0,50,180,0.9,0.0005,3,false,0.00000000,2400,true,2,21,1.80,0.00025,1.2,false,0,0.00000,0.00,600
4030,EURUSD,55,5,16,2,0.00020000,0.50,true,true,false,0.00044000,140,0.30,0.0065,1.0,2.4,0.8,0,60,0.5,0.0003,2,true,0.00018000,900,false,0,14,0.00,0.00000,0.0,true,1,0.00045,0.45,0
4031,EURUSD,55,5,16,3,0.00024000,0.50,true,true,false,0.00060000,150,0.45,0.0075,1.2,2.4,1.0,35,120,0.7,0.0004,3,false,0.00000000,1800,false,0,14,0.00,0.00000,0.0,false,0,0.00000,0.00,300
4032,EURUSD,55,6,10,2,0.00012000,0.60,false,true,false,0.00033600,120,0.60,0.0045,1.4,2.4,0.8,50,180,0.9,0.0005,2,false,0.00000000,2400,false,0,14,0.00,0.00000,0.0,false,0,0.00000,0.00,600
4033,EURUSD,55,6,10,3,0.00016000,0.60,true,true,false,0.00035200,130,0.30,0.0055,1.0,2.8,1.0,0,60,0.5,0.0003,3,true,0.00018000,900,true,2,14,1.20,0.00015,0.8,false,0,0.00000,0.00,0
