PresetID,Symbol,K_swing,N_bos,M_retest,EqTol_pips,UseRoundNumber,RNDelta_pips,UseKillzones,RiskPerTradePct,TrailMode,SL_Buffer_pips,BOSBuffer_pips,UsePendingRetest,RetestOffset_pips,TP1_R,TP2_R,BE_Activate_R,PartialClosePct,UsePyramid,MaxAdds,AddSizeFactor,AddSpacing_pips,MaxOpenPositions,TimeStopMinutes,MinProgressR,Comment
1,XAUUSD,50,6,3,20,1,28,1,0.5,0,60,2,0,7,1,2,0.8,50,0,0,0.6,40,1,5,0.5,MAPPING-> original 91
2,XAUUSD,60,5,3,18,1,30,1,0.5,0,70,2,0,7,1,2,0.8,50,0,0,0.6,40,1,5,0.5,MAPPING-> original 90 // NY_C31_STRICT_SPREAD45
3,XAUUSD,60,5,3,18,1,30,1,0.5,0,70,2,0,7,1,2,1,50,0,0,0.6,40,1,5,0.5,MAPPING-> original 123
4,XAUUSD,50,6,3,20,1,35,1,0.5,0,60,2,0,7,1,2,0.8,50,0,0,0.6,40,1,5,0.5,MAPPING-> original 36
5,XAUUSD,50,6,3,20,1,25,1,0.5,0,60,2,0,7,1,2,0.8,50,0,0,0.6,40,1,5,0.5,MAPPING-> original 62
6,XAUUSD,50,6,3,20,1,30,1,0.5,0,60,2,0,7,1,2,0.8,50,0,0,0.6,40,1,5,0.5,MAPPING-> original 63
7,XAUUSD,50,6,2,20,1,30,1,0.5,0,60,2,0,7,1,2,0.8,50,0,0,0.6,40,1,5,0.5,MAPPING-> original 64
8,XAUUSD,50,6,4,20,1,30,1,0.5,0,60,2,0,7,1,2,0.8,50,0,0,0.6,40,1,5,0.5,MAPPING-> original 65
9,XAUUSD,50,6,3,22,1,40,1,0.5,0,60,1,0,7,1,2,0.8,50,0,0,0.6,40,1,5,0.5,MAPPING-> original 89 // NY_C31_RN40
10,XAUUSD,50,6,3,20,1,32,1,0.5,0,60,2,0,7,1,2,0.8,50,0,0,0.6,40,1,5,0.5,MAPPING-> original 92
11,XAUUSD,50,6,3,20,1,30,1,0.5,0,60,2,0,7,1,2,1,50,0,0,0.6,40,1,5,0.5,MAPPING-> original 93
12,XAUUSD,55,6,3,20,1,30,1,0.5,0,60,1.5,0,7,1,2,0.8,50,0,0,0.6,40,1,5,0.5,MAPPING-> original 95
13,XAUUSD,50,6,3,20,1,28,1,0.5,0,60,2,0,7,1,2,0.8,50,0,0,0.6,40,1,5,0.5,MAPPING-> original 121
14,XAUUSD,50,6,3,18,1,30,1,0.5,0,65,2,0,7,1,2,0.8,50,0,0,0.6,40,1,5,0.5,MAPPING-> original 66
15,XAUUSD,55,5,3,18,1,30,1,0.5,0,65,2.5,0,7,1,2,0.8,50,0,0,0.6,40,1,5,0.5,MAPPING-> original 96
16,XAUUSD,55,5,3,18,1,30,1,0.5,0,65,2,0,7,1,2,0.8,50,0,0,0.6,40,1,5,0.5,MAPPING-> original 99
17,XAUUSD,60,6,3,22,1,35,1,0.5,0,60,2,0,7,1,2,0.8,50,0,0,0.6,40,1,5,0.5,MAPPING-> original 107 // LDN_SHIFT_-10 (để chống 0 trade)
18,XAUUSD,50,6,3,20,1,30,1,0.5,0,60,2,0,7,1,2,0.8,50,0,0,0.6,40,1,4,0.6,MAPPING-> original 97
19,XAUUSD,55,5,3,18,1,30,1,0.5,0,65,2,0,7,1,2,1,40,0,0,0.6,40,1,5,0.5,MAPPING-> original 122
20,XAUUSD,65,5,2,18,1,30,1,0.4,0,70,2,0,7,1,2,0.8,40,0,0,0.6,40,1,5,0.6,MAPPING-> original 18
21,XAUUSD,50,6,3,22,1,40,1,0.5,0,55,1,0,7,1,2,0.8,50,0,0,0.6,40,1,5,0.5,MAPPING-> original 76 // LDN_34_SHORT_SWING
22,XAUUSD,55,6,2,22,1,40,1,0.5,0,55,1,0,7,1,2,0.8,50,0,0,0.6,40,1,5,0.5,MAPPING-> original 77 // LDN_34_FAST_RETEST2
23,XAUUSD,60,6,3,22,1,37,1,0.5,0,60,2,0,7,1,2,0.8,50,0,0,0.6,40,1,5,0.5,MAPPING-> original 102 // LDN_32_MICRO_RN37
24,XAUUSD,55,5,3,22,1,40,1,0.5,0,60,2.5,0,7,1,2,0.8,50,0,0,0.6,40,1,5,0.5,MAPPING-> original 104 // LDN_34_BUFFER2_5
25,XAUUSD,50,6,3,22,1,40,1,0.5,0,55,1,0,7,1,2,0.8,50,0,0,0.6,40,1,5,0.5,MAPPING-> original 105 // LDN_76_SPREAD50 (siết spread)
26,XAUUSD,55,6,3,22,1,37,1,0.5,0,55,1.5,0,7,1,2,0.8,50,0,0,0.6,40,1,5,0.5,MAPPING-> original 125
27,XAUUSD,50,6,3,20,1,35,1,0.5,1,50,2,0,7,1,2,0.6,50,0,0,0.6,40,1,5,0.5,MAPPING-> original 36
28,XAUUSD,50,6,3,20,1,35,1,0.5,1,50,2,0,7,1,2,0.8,50,0,0,0.6,40,1,5,0.5,TRAIL-DoE: ATR14x1.5 start0.8
29,XAUUSD,50,6,3,20,1,35,1,0.5,2,50,2,0,7,1,2,0.8,50,0,0,0.6,40,1,5,0.5,TRAIL-DoE: STEP0.25 start0.8
30,XAUUSD,50,6,3,20,1,35,1,0.5,1,50,2,0,7,1.2,2,0.8,40,0,0,0.6,40,1,5,0.5,TRAIL-DoE: ATR14x1.5 + BE0.8/TP1=1.2/PC40%
31,XAUUSD,50,6,3,20,1,35,1,0.5,2,50,2,0,7,1.2,2,0.8,40,0,0,0.6,40,1,5,0.5,TRAIL-DoE: STEP0.30 + BE0.8/TP1=1.2/PC40%
32,XAUUSD,50,6,3,20,1,35,1,0.5,1,50,2,0,7,9.9,2,1,0,0,0,0,0,1,5,0.5,Sprint2 BotA: ATR14x1.5 | runner | no-partial
33,XAUUSD,50,6,3,20,1,35,1,0.5,1,50,2,0,7,1.4,2,1,30,0,0,0,0,1,5,0.5,Sprint2 BotA: ATR21x2.2 | BE1.0/TP1=1.4/PC30%
34,XAUUSD,50,6,3,20,1,35,1,0.5,1,50,2,0,7,1.5,2,0.8,30,0,0,0,0,1,5,0.5,Sprint2 BotA: ATR14x1.5 | BE0.8/TP1=1.5/PC30%
35,XAUUSD,50,6,3,20,1,35,1,0.5,1,50,2,0,7,1.2,2,0.8,40,0,0,0,0,1,5,0.5,Sprint2 BotA: ATR14x1.6 | BE0.8/TP1=1.2/PC40%
36,XAUUSD,50,6,3,20,1,35,1,0.5,2,50,2,0,7,1.2,2,0.8,40,1,2,0.6,35,3,5,0.5,"Sprint2 BotB: STEP0.30 | StartRR=0.8 | BE0.8/TP1=1.2/PC40 | Py(2,0.35,0.6)"
