Case,Symbol,K_swing,N_bos,LookbackInternal,M_retest,EqTol,BOSBufferPoints,UseKillzones,UseRoundNumber,UseVSA,RNDelta,L_percentile,RiskPerTradePct,SL_BufferUSD,TP1_R,TP2_R,BE_Activate_R,PartialClosePct,TimeStopMinutes,MinProgressR,MaxSpreadUSD,MaxOpenPositions,UsePendingRetest,RetestOffsetUSD,PendingExpirySec,UseTrailing,TrailMode,TrailATRPeriod,TrailATRMult,TrailStepUSD,TrailStartRR,UsePyramid,MaxAdds,AddSpacingUSD,AddSizeFactor,CooldownSec,UseATRScaling,ATRScalingPeriod,SL_ATR_Mult,Retest_ATR_Mult,AddSpacing_ATR_Mult,TrailStep_ATR_Mult,MaxSpread_ATR_Mult,RNDelta_ATR_Mult
301,EURUSD,45,5,12,4,1.4*pip,1.1*pipPoints,false,false,false,1.6*pip,90,0.20,6*pip,1.00,1.80,0.70,35.0,150,0.55,2.2*pip,2,false,0.9*pip,900,false,0,0,0.00,0.0,0.00,false,0,4.0*pip,0.60,0,true,14,0.45,0.18,0.75,0.00,0.22,0.22
302,EURUSD,45,5,12,4,1.4*pip,1.1*pipPoints,false,false,false,1.6*pip,90,0.20,6*pip,1.00,1.80,0.70,35.0,150,0.55,2.2*pip,2,false,0.9*pip,900,false,0,0,0.00,0.0,0.00,false,0,4.0*pip,0.60,0,true,14,0.45,0.24,0.75,0.00,0.22,0.22
303,EURUSD,45,5,12,4,1.4*pip,1.1*pipPoints,false,false,false,1.6*pip,90,0.20,6*pip,1.00,1.80,0.70,35.0,150,0.55,2.2*pip,2,true,0.9*pip,900,false,0,0,0.00,0.0,0.00,false,0,4.0*pip,0.60,0,true,14,0.45,0.18,0.75,0.00,0.22,0.22
304,EURUSD,45,5,12,4,1.4*pip,1.1*pipPoints,false,false,false,1.6*pip,90,0.20,6*pip,1.00,1.80,0.70,35.0,150,0.55,2.2*pip,2,true,0.9*pip,900,false,0,0,0.00,0.0,0.00,false,0,4.0*pip,0.60,0,true,14,0.45,0.24,0.75,0.00,0.22,0.22
305,EURUSD,45,5,12,4,1.4*pip,1.1*pipPoints,false,false,false,1.6*pip,90,0.20,6*pip,1.00,2.10,0.70,35.0,150,0.55,2.2*pip,2,false,0.9*pip,900,false,0,0,0.00,0.0,0.00,false,0,4.0*pip,0.60,0,true,14,0.45,0.18,0.75,0.00,0.22,0.22
306,EURUSD,45,5,12,4,1.4*pip,1.1*pipPoints,false,false,false,1.6*pip,90,0.20,6*pip,1.00,2.10,0.70,35.0,150,0.55,2.2*pip,2,false,0.9*pip,900,false,0,0,0.00,0.0,0.00,false,0,4.0*pip,0.60,0,true,14,0.45,0.24,0.75,0.00,0.22,0.22
307,EURUSD,45,5,12,4,1.4*pip,1.1*pipPoints,false,false,false,1.6*pip,90,0.20,6*pip,1.00,2.10,0.70,35.0,150,0.55,2.2*pip,2,true,0.9*pip,900,false,0,0,0.00,0.0,0.00,false,0,4.0*pip,0.60,0,true,14,0.45,0.18,0.75,0.00,0.22,0.22
308,EURUSD,45,5,12,4,1.4*pip,1.1*pipPoints,false,false,false,1.6*pip,90,0.20,6*pip,1.00,2.10,0.70,35.0,150,0.55,2.2*pip,2,true,0.9*pip,900,false,0,0,0.00,0.0,0.00,false,0,4.0*pip,0.60,0,true,14,0.45,0.24,0.75,0.00,0.22,0.22
309,EURUSD,45,5,12,4,1.4*pip,1.1*pipPoints,false,false,false,1.6*pip,90,0.20,6*pip,1.20,1.80,0.70,35.0,150,0.55,2.2*pip,2,false,0.9*pip,900,false,0,0,0.00,0.0,0.00,false,0,4.0*pip,0.60,0,true,14,0.45,0.18,0.75,0.00,0.22,0.22
310,EURUSD,45,5,12,4,1.4*pip,1.1*pipPoints,false,false,false,1.6*pip,90,0.20,6*pip,1.20,1.80,0.70,35.0,150,0.55,2.2*pip,2,false,0.9*pip,900,false,0,0,0.00,0.0,0.00,false,0,4.0*pip,0.60,0,true,14,0.45,0.24,0.75,0.00,0.22,0.22
311,EURUSD,45,5,12,4,1.4*pip,1.1*pipPoints,false,false,false,1.6*pip,90,0.20,6*pip,1.20,1.80,0.70,35.0,150,0.55,2.2*pip,2,true,0.9*pip,900,false,0,0,0.00,0.0,0.00,false,0,4.0*pip,0.60,0,true,14,0.45,0.18,0.75,0.00,0.22,0.22
312,EURUSD,45,5,12,4,1.4*pip,1.1*pipPoints,false,false,false,1.6*pip,90,0.20,6*pip,1.20,1.80,0.70,35.0,150,0.55,2.2*pip,2,true,0.9*pip,900,false,0,0,0.00,0.0,0.00,false,0,4.0*pip,0.60,0,true,14,0.45,0.24,0.75,0.00,0.22,0.22
313,EURUSD,45,5,12,4,1.4*pip,1.1*pipPoints,false,false,false,1.6*pip,90,0.20,6*pip,1.20,2.10,0.70,35.0,150,0.55,2.2*pip,2,false,0.9*pip,900,false,0,0,0.00,0.0,0.00,false,0,4.0*pip,0.60,0,true,14,0.45,0.18,0.75,0.00,0.22,0.22
314,EURUSD,45,5,12,4,1.4*pip,1.1*pipPoints,false,false,false,1.6*pip,90,0.20,6*pip,1.20,2.10,0.70,35.0,150,0.55,2.2*pip,2,false,0.9*pip,900,false,0,0,0.00,0.0,0.00,false,0,4.0*pip,0.60,0,true,14,0.45,0.24,0.75,0.00,0.22,0.22
315,EURUSD,45,5,12,4,1.4*pip,1.1*pipPoints,false,false,false,1.6*pip,90,0.20,6*pip,1.20,2.10,0.70,35.0,150,0.55,2.2*pip,2,true,0.9*pip,900,false,0,0,0.00,0.0,0.00,false,0,4.0*pip,0.60,0,true,14,0.45,0.18,0.75,0.00,0.22,0.22
316,EURUSD,45,5,12,4,1.4*pip,1.1*pipPoints,false,false,false,1.6*pip,90,0.20,6*pip,1.20,2.10,0.70,35.0,150,0.55,2.2*pip,2,true,0.9*pip,900,false,0,0,0.00,0.0,0.00,false,0,4.0*pip,0.60,0,true,14,0.45,0.24,0.75,0.00,0.22,0.22
317,EURUSD,45,5,12,4,1.4*pip,1.1*pipPoints,false,false,false,1.6*pip,90,0.24,6*pip,1.00,1.80,0.70,35.0,150,0.55,2.2*pip,2,false,0.9*pip,900,false,0,0,0.00,0.0,0.00,false,0,4.0*pip,0.60,0,true,14,0.45,0.18,0.75,0.00,0.22,0.22
318,EURUSD,45,5,12,4,1.4*pip,1.1*pipPoints,false,false,false,1.6*pip,90,0.24,6*pip,1.00,1.80,0.70,35.0,150,0.55,2.2*pip,2,false,0.9*pip,900,false,0,0,0.00,0.0,0.00,false,0,4.0*pip,0.60,0,true,14,0.45,0.24,0.75,0.00,0.22,0.22
319,EURUSD,45,5,12,4,1.4*pip,1.1*pipPoints,false,false,false,1.6*pip,90,0.24,6*pip,1.00,1.80,0.70,35.0,150,0.55,2.2*pip,2,true,0.9*pip,900,false,0,0,0.00,0.0,0.00,false,0,4.0*pip,0.60,0,true,14,0.45,0.18,0.75,0.00,0.22,0.22
320,EURUSD,45,5,12,4,1.4*pip,1.1*pipPoints,false,false,false,1.6*pip,90,0.24,6*pip,1.00,1.80,0.70,35.0,150,0.55,2.2*pip,2,true,0.9*pip,900,false,0,0,0.00,0.0,0.00,false,0,4.0*pip,0.60,0,true,14,0.45,0.24,0.75,0.00,0.22,0.22
321,EURUSD,45,5,12,4,1.4*pip,1.1*pipPoints,false,false,false,1.6*pip,90,0.24,6*pip,1.00,2.10,0.70,35.0,150,0.55,2.2*pip,2,false,0.9*pip,900,false,0,0,0.00,0.0,0.00,false,0,4.0*pip,0.60,0,true,14,0.45,0.18,0.75,0.00,0.22,0.22
322,EURUSD,45,5,12,4,1.4*pip,1.1*pipPoints,false,false,false,1.6*pip,90,0.24,6*pip,1.00,2.10,0.70,35.0,150,0.55,2.2*pip,2,false,0.9*pip,900,false,0,0,0.00,0.0,0.00,false,0,4.0*pip,0.60,0,true,14,0.45,0.24,0.75,0.00,0.22,0.22
323,EURUSD,45,5,12,4,1.4*pip,1.1*pipPoints,false,false,false,1.6*pip,90,0.24,6*pip,1.00,2.10,0.70,35.0,150,0.55,2.2*pip,2,true,0.9*pip,900,false,0,0,0.00,0.0,0.00,false,0,4.0*pip,0.60,0,true,14,0.45,0.18,0.75,0.00,0.22,0.22
324,EURUSD,45,5,12,4,1.4*pip,1.1*pipPoints,false,false,false,1.6*pip,90,0.24,6*pip,1.00,2.10,0.70,35.0,150,0.55,2.2*pip,2,true,0.9*pip,900,false,0,0,0.00,0.0,0.00,false,0,4.0*pip,0.60,0,true,14,0.45,0.24,0.75,0.00,0.22,0.22
325,EURUSD,45,5,12,4,1.4*pip,1.1*pipPoints,false,false,false,1.6*pip,90,0.24,6*pip,1.20,1.80,0.70,35.0,150,0.55,2.2*pip,2,false,0.9*pip,900,false,0,0,0.00,0.0,0.00,false,0,4.0*pip,0.60,0,true,14,0.45,0.18,0.75,0.00,0.22,0.22
326,EURUSD,45,5,12,4,1.4*pip,1.1*pipPoints,false,false,false,1.6*pip,90,0.24,6*pip,1.20,1.80,0.70,35.0,150,0.55,2.2*pip,2,false,0.9*pip,900,false,0,0,0.00,0.0,0.00,false,0,4.0*pip,0.60,0,true,14,0.45,0.24,0.75,0.00,0.22,0.22
