PresetID,Symbol,NetProfit,ProfitFactor,TotalTrades,WinTrades,LossTrades,WinRate,AvgWin,AvgLoss,LargestWin,LargestLoss,MaxDrawdownPercent,MaxDrawdownMoney,SharpeRatio,RecoveryFactor,ExpectedPayoff,MaxConsecutiveLosses,MaxConsecutiveLossesCount,FilterBlocks_RN,FilterBlocks_KZ,FilterBlocks_Spr,K_swing,N_bos,LookbackInternal,M_retest,EqTol,BOSBufferPoints,UseKillzones,UseRoundNumber,UseVSA,RNDelta,L_percentile,RiskPerTradePct,SL_BufferUSD,TP1_R,TP2_R,BE_Activate_R,PartialClosePct,TimeStopMinutes,MinProgressR,MaxSpreadUSD,MaxOpenPositions,UsePendingRetest,RetestOffsetUSD,PendingExpirySec,UseTrailing,TrailMode,TrailATRPeriod,TrailATRMult,TrailStepUSD,TrailStartRR,UsePyramid,MaxAdds,AddSpacingUSD,AddSizeFactor,CooldownSec,UseATRScaling,ATRScalingPeriod,SL_ATR_Mult,Retest_ATR_Mult,AddSpacing_ATR_Mult,TrailStep_ATR_Mult,MaxSpread_ATR_Mult,RNDelta_ATR_Mult
822,XAUUSD,159.85,3.42,29,23,6,79.3,9.83,-11.03,24.59,-21.89,0.22,21.89,89.66,4.02,5.51,-21.89,1,0,3618,0,50,6,12,3,0.20,2.00,true,true,false,0.30,150,0.5,0.50,1.0,2.0,0.8,50,5,0.50,0.50,1,false,0.07,60,false,0,14,2.00,0.30,1.00,false,0,0.40,0.60,0,false,14,0.60,0.25,0.80,0.50,0.15,0.40
829,XAUUSD,159.85,3.42,29,23,6,79.3,9.83,-11.03,24.59,-21.89,0.22,21.89,89.66,4.02,5.51,-21.89,1,0,3618,0,50,6,12,3,0.20,2.00,true,true,false,0.30,150,0.5,0.50,1.0,2.0,0.8,50,5,0.50,0.50,1,false,0.07,60,false,0,14,2.00,0.30,1.00,false,0,0.40,0.60,0,false,14,0.60,0.25,0.80,0.50,0.15,0.40
836,XAUUSD,159.85,3.42,29,23,6,79.3,9.83,-11.03,24.59,-21.89,0.22,21.89,89.66,4.02,5.51,-21.89,1,0,3618,0,50,6,12,3,0.20,2.00,true,true,false,0.30,150,0.5,0.50,1.0,2.0,0.8,50,5,0.50,0.50,1,false,0.07,60,false,0,14,2.00,0.30,1.00,false,0,0.40,0.60,0,false,14,0.60,0.25,0.80,0.50,0.15,0.40
808,XAUUSD,159.85,3.42,29,23,6,79.3,9.83,-11.03,24.59,-21.89,0.22,21.89,89.66,4.02,5.51,-21.89,1,0,3618,0,50,6,12,3,0.20,2.00,true,true,false,0.30,150,0.5,0.50,1.0,2.0,0.8,50,5,0.50,0.50,1,false,0.07,60,false,0,14,2.00,0.30,1.00,false,0,0.40,0.60,0,false,14,0.60,0.25,0.80,0.50,0.15,0.40
843,XAUUSD,159.85,3.42,29,23,6,79.3,9.83,-11.03,24.59,-21.89,0.22,21.89,89.66,4.02,5.51,-21.89,1,0,3618,0,50,6,12,3,0.20,2.00,true,true,false,0.30,150,0.5,0.50,1.0,2.0,0.8,50,5,0.50,0.50,1,false,0.07,60,false,0,14,2.00,0.30,1.00,false,0,0.40,0.60,0,false,14,0.60,0.25,0.80,0.50,0.15,0.40
850,XAUUSD,159.85,3.42,29,23,6,79.3,9.83,-11.03,24.59,-21.89,0.22,21.89,89.66,4.02,5.51,-21.89,1,0,3618,0,50,6,12,3,0.20,2.00,true,true,false,0.30,150,0.5,0.50,1.0,2.0,0.8,50,5,0.50,0.50,1,false,0.07,60,false,0,14,2.00,0.30,1.00,false,0,0.40,0.60,0,false,14,0.60,0.25,0.80,0.50,0.15,0.40
815,XAUUSD,159.85,3.42,29,23,6,79.3,9.83,-11.03,24.59,-21.89,0.22,21.89,89.66,4.02,5.51,-21.89,1,0,3618,0,50,6,12,3,0.20,2.00,true,true,false,0.30,150,0.5,0.50,1.0,2.0,0.8,50,5,0.50,0.50,1,false,0.07,60,false,0,14,2.00,0.30,1.00,false,0,0.40,0.60,0,false,14,0.60,0.25,0.80,0.50,0.15,0.40
801,XAUUSD,159.85,3.42,29,23,6,79.3,9.83,-11.03,24.59,-21.89,0.22,21.89,89.66,4.02,5.51,-21.89,1,0,3618,0,50,6,12,3,0.20,2.00,true,true,false,0.30,150,0.5,0.50,1.0,2.0,0.8,50,5,0.50,0.50,1,false,0.07,60,false,0,14,2.00,0.30,1.00,false,0,0.40,0.60,0,false,14,0.60,0.25,0.80,0.50,0.15,0.40
837,XAUUSD,159.85,3.42,29,23,6,79.3,9.83,-11.03,24.59,-21.89,0.22,21.89,89.66,4.02,5.51,-21.89,1,0,3618,0,50,6,12,3,0.20,2.00,true,true,false,0.30,150,0.5,0.50,1.0,2.0,0.8,50,5,0.50,0.50,1,false,0.07,60,false,0,14,2.00,0.30,1.00,false,0,0.40,0.60,0,false,14,0.60,0.25,0.80,0.50,0.15,0.40
809,XAUUSD,159.85,3.42,29,23,6,79.3,9.83,-11.03,24.59,-21.89,0.22,21.89,89.66,4.02,5.51,-21.89,1,0,3618,0,50,6,12,3,0.20,2.00,true,true,false,0.30,150,0.5,0.50,1.0,2.0,0.8,50,5,0.50,0.50,1,false,0.07,60,false,0,14,2.00,0.30,1.00,false,0,0.40,0.60,0,false,14,0.60,0.25,0.80,0.50,0.15,0.40
823,XAUUSD,159.85,3.42,29,23,6,79.3,9.83,-11.03,24.59,-21.89,0.22,21.89,89.66,4.02,5.51,-21.89,1,0,3618,0,50,6,12,3,0.20,2.00,true,true,false,0.30,150,0.5,0.50,1.0,2.0,0.8,50,5,0.50,0.50,1,false,0.07,60,false,0,14,2.00,0.30,1.00,false,0,0.40,0.60,0,false,14,0.60,0.25,0.80,0.50,0.15,0.40
830,XAUUSD,159.85,3.42,29,23,6,79.3,9.83,-11.03,24.59,-21.89,0.22,21.89,89.66,4.02,5.51,-21.89,1,0,3618,0,50,6,12,3,0.20,2.00,true,true,false,0.30,150,0.5,0.50,1.0,2.0,0.8,50,5,0.50,0.50,1,false,0.07,60,false,0,14,2.00,0.30,1.00,false,0,0.40,0.60,0,false,14,0.60,0.25,0.80,0.50,0.15,0.40
844,XAUUSD,159.85,3.42,29,23,6,79.3,9.83,-11.03,24.59,-21.89,0.22,21.89,89.66,4.02,5.51,-21.89,1,0,3618,0,50,6,12,3,0.20,2.00,true,true,false,0.30,150,0.5,0.50,1.0,2.0,0.8,50,5,0.50,0.50,1,false,0.07,60,false,0,14,2.00,0.30,1.00,false,0,0.40,0.60,0,false,14,0.60,0.25,0.80,0.50,0.15,0.40
816,XAUUSD,159.85,3.42,29,23,6,79.3,9.83,-11.03,24.59,-21.89,0.22,21.89,89.66,4.02,5.51,-21.89,1,0,3618,0,50,6,12,3,0.20,2.00,true,true,false,0.30,150,0.5,0.50,1.0,2.0,0.8,50,5,0.50,0.50,1,false,0.07,60,false,0,14,2.00,0.30,1.00,false,0,0.40,0.60,0,false,14,0.60,0.25,0.80,0.50,0.15,0.40
851,XAUUSD,159.85,3.42,29,23,6,79.3,9.83,-11.03,24.59,-21.89,0.22,21.89,89.66,4.02,5.51,-21.89,1,0,3618,0,50,6,12,3,0.20,2.00,true,true,false,0.30,150,0.5,0.50,1.0,2.0,0.8,50,5,0.50,0.50,1,false,0.07,60,false,0,14,2.00,0.30,1.00,false,0,0.40,0.60,0,false,14,0.60,0.25,0.80,0.50,0.15,0.40
802,XAUUSD,159.85,3.42,29,23,6,79.3,9.83,-11.03,24.59,-21.89,0.22,21.89,89.66,4.02,5.51,-21.89,1,0,3618,0,50,6,12,3,0.20,2.00,true,true,false,0.30,150,0.5,0.50,1.0,2.0,0.8,50,5,0.50,0.50,1,false,0.07,60,false,0,14,2.00,0.30,1.00,false,0,0.40,0.60,0,false,14,0.60,0.25,0.80,0.50,0.15,0.40
838,XAUUSD,159.85,3.42,29,23,6,79.3,9.83,-11.03,24.59,-21.89,0.22,21.89,89.66,4.02,5.51,-21.89,1,0,3618,0,50,6,12,3,0.20,2.00,true,true,false,0.30,150,0.5,0.50,1.0,2.0,0.8,50,5,0.50,0.50,1,false,0.07,60,false,0,14,2.00,0.30,1.00,false,0,0.40,0.60,0,false,14,0.60,0.25,0.80,0.50,0.15,0.40
810,XAUUSD,159.85,3.42,29,23,6,79.3,9.83,-11.03,24.59,-21.89,0.22,21.89,89.66,4.02,5.51,-21.89,1,0,3618,0,50,6,12,3,0.20,2.00,true,true,false,0.30,150,0.5,0.50,1.0,2.0,0.8,50,5,0.50,0.50,1,false,0.07,60,false,0,14,2.00,0.30,1.00,false,0,0.40,0.60,0,false,14,0.60,0.25,0.80,0.50,0.15,0.40
845,XAUUSD,159.85,3.42,29,23,6,79.3,9.83,-11.03,24.59,-21.89,0.22,21.89,89.66,4.02,5.51,-21.89,1,0,3618,0,50,6,12,3,0.20,2.00,true,true,false,0.30,150,0.5,0.50,1.0,2.0,0.8,50,5,0.50,0.50,1,false,0.07,60,false,0,14,2.00,0.30,1.00,false,0,0.40,0.60,0,false,14,0.60,0.25,0.80,0.50,0.15,0.40
831,XAUUSD,159.85,3.42,29,23,6,79.3,9.83,-11.03,24.59,-21.89,0.22,21.89,89.66,4.02,5.51,-21.89,1,0,3618,0,50,6,12,3,0.20,2.00,true,true,false,0.30,150,0.5,0.50,1.0,2.0,0.8,50,5,0.50,0.50,1,false,0.07,60,false,0,14,2.00,0.30,1.00,false,0,0.40,0.60,0,false,14,0.60,0.25,0.80,0.50,0.15,0.40
817,XAUUSD,159.85,3.42,29,23,6,79.3,9.83,-11.03,24.59,-21.89,0.22,21.89,89.66,4.02,5.51,-21.89,1,0,3618,0,50,6,12,3,0.20,2.00,true,true,false,0.30,150,0.5,0.50,1.0,2.0,0.8,50,5,0.50,0.50,1,false,0.07,60,false,0,14,2.00,0.30,1.00,false,0,0.40,0.60,0,false,14,0.60,0.25,0.80,0.50,0.15,0.40
824,XAUUSD,159.85,3.42,29,23,6,79.3,9.83,-11.03,24.59,-21.89,0.22,21.89,89.66,4.02,5.51,-21.89,1,0,3618,0,50,6,12,3,0.20,2.00,true,true,false,0.30,150,0.5,0.50,1.0,2.0,0.8,50,5,0.50,0.50,1,false,0.07,60,false,0,14,2.00,0.30,1.00,false,0,0.40,0.60,0,false,14,0.60,0.25,0.80,0.50,0.15,0.40
852,XAUUSD,159.85,3.42,29,23,6,79.3,9.83,-11.03,24.59,-21.89,0.22,21.89,89.66,4.02,5.51,-21.89,1,0,3618,0,50,6,12,3,0.20,2.00,true,true,false,0.30,150,0.5,0.50,1.0,2.0,0.8,50,5,0.50,0.50,1,false,0.07,60,false,0,14,2.00,0.30,1.00,false,0,0.40,0.60,0,false,14,0.60,0.25,0.80,0.50,0.15,0.40
