Case,Symbol,K_swing,N_bos,LookbackInternal,M_retest,EqTol,BOSBufferPoints,UseKillzones,UseRoundNumber,UseVSA,RNDelta,L_percentile,RiskPerTradePct,SL_BufferUSD,TP1_R,TP2_R,BE_Activate_R,PartialClosePct,TimeStopMinutes,MinProgressR,MaxSpreadUSD,MaxOpenPositions,UsePendingRetest,RetestOffsetUSD,PendingExpirySec,UseTrailing,TrailMode,TrailATRPeriod,TrailATRMult,TrailStepUSD,TrailStartRR,UsePyramid,MaxAdds,AddSpacingUSD,AddSizeFactor,CooldownSec
758,XAUUSD,70,6,10,3,5.00*pip,1.00*pipPoints,False,True,False,3.5*pip,130,0.7,12.0*pip,1.0,2.0,0.8,30,5,0.5,0.0,3,False,4.0*pip,45,True,2,14,0.0,0.35,1.0,False,0,0.0,0.6,45
2144,XAUUSD,80,6,20,4,2.00*pip,2.00*pipPoints,True,False,True,5.0*pip,220,0.7,20.0*pip,1.0,2.0,1.2,30,5,0.5,0.0,2,True,4.0*pip,60,False,0,14,0.0,0.0,0.0,True,1,0.4,0.6,45
1256,XAUUSD,100,7,18,1,1.00*pip,3.00*pipPoints,False,True,True,3.0*pip,130,1.2,20.0*pip,1.0,2.0,0.8,30,0,0.8,0.0,1,True,4.0*pip,90,True,1,21,1.4,0.0,0.8,True,1,0.4,0.7,45
2078,XAUUSD,50,6,20,1,5.00*pip,1.00*pipPoints,True,True,True,5.0*pip,170,0.7,12.0*pip,2.0,4.0,0.8,30,5,1.0,0.0,2,False,3.0*pip,30,True,1,18,1.4,0.0,1.2,True,2,0.4,0.5,30
518,XAUUSD,60,6,12,2,1.00*pip,2.50*pipPoints,True,True,False,2.5*pip,220,1.0,16.0*pip,1.2,2.0,0.8,40,10,1.0,0.0,2,False,2.0*pip,90,True,1,18,1.2,0.0,0.8,True,1,0.3,0.7,15
590,XAUUSD,40,5,15,2,5.00*pip,2.50*pipPoints,True,True,False,2.5*pip,220,0.7,10.0*pip,3.0,6.0,1.2,40,0,0.5,0.0,1,False,3.0*pip,90,True,1,18,1.6,0.0,0.8,True,2,0.8,0.7,15
992,XAUUSD,50,7,18,4,1.50*pip,1.50*pipPoints,False,True,False,4.0*pip,200,0.3,16.0*pip,2.0,4.0,1.0,30,5,0.8,0.0,3,True,1.5*pip,30,True,1,14,1.4,0.0,1.2,False,0,0.0,0.6,15
1916,XAUUSD,60,8,12,4,3.00*pip,1.00*pipPoints,False,False,True,5.0*pip,110,0.2,16.0*pip,3.0,6.0,1.0,30,10,0.5,0.0,2,False,3.0*pip,30,True,1,18,1.6,0.0,1.0,True,2,0.6,0.7,45
902,XAUUSD,100,3,15,1,1.50*pip,3.00*pipPoints,True,False,False,5.0*pip,150,0.7,20.0*pip,3.0,6.0,1.2,30,0,1.0,0.0,3,True,3.0*pip,60,True,1,18,2.0,0.0,0.8,False,0,0.0,0.6,0
230,XAUUSD,40,4,10,2,5.00*pip,1.00*pipPoints,True,False,False,3.0*pip,110,0.3,8.0*pip,1.5,3.0,1.2,40,15,0.5,0.0,3,False,3.0*pip,60,False,0,14,0.0,0.0,0.0,False,0,0.0,0.6,45
1790,XAUUSD,80,8,10,5,1.00*pip,3.00*pipPoints,True,False,False,3.5*pip,150,0.7,20.0*pip,2.5,5.0,0.8,40,15,0.5,0.0,1,True,2.0*pip,90,True,2,14,0.0,0.25,1.0,True,2,0.6,0.6,60
1166,XAUUSD,70,4,18,4,1.50*pip,2.00*pipPoints,False,True,True,4.0*pip,200,0.5,8.0*pip,1.5,3.0,1.2,30,10,0.8,0.0,2,False,2.5*pip,60,True,1,21,2.0,0.0,1.0,True,1,0.8,0.6,30
1874,XAUUSD,40,5,10,1,5.00*pip,1.50*pipPoints,True,True,False,2.5*pip,220,1.0,12.0*pip,1.2,2.0,0.8,40,15,0.8,0.0,3,False,2.0*pip,30,True,1,18,1.6,0.0,1.0,True,2,1.0,0.7,60
1190,XAUUSD,40,8,12,3,1.50*pip,2.50*pipPoints,False,True,False,5.0*pip,220,0.5,8.0*pip,2.5,5.0,0.8,40,5,0.8,0.0,3,True,2.5*pip,30,True,2,14,0.0,0.3,1.0,True,1,0.4,0.5,15
1016,XAUUSD,70,7,8,5,1.00*pip,1.00*pipPoints,True,True,False,3.5*pip,220,0.3,12.0*pip,2.0,4.0,0.8,40,15,0.5,0.0,2,True,1.5*pip,45,True,1,14,1.6,0.0,1.2,True,1,0.6,0.5,15
1886,XAUUSD,35,5,8,1,2.00*pip,1.50*pipPoints,True,True,True,5.0*pip,110,0.7,16.0*pip,3.0,6.0,0.8,40,0,1.0,0.0,1,True,3.0*pip,60,True,2,14,0.0,0.5,0.8,True,1,0.4,0.6,45
608,XAUUSD,100,3,10,3,1.50*pip,3.00*pipPoints,False,True,True,4.0*pip,220,0.5,16.0*pip,1.5,3.0,1.2,40,5,0.5,0.0,2,True,1.5*pip,30,True,1,21,1.4,0.0,1.2,False,0,0.0,0.6,0
1412,XAUUSD,100,3,20,5,2.00*pip,2.50*pipPoints,True,True,True,3.5*pip,120,0.3,16.0*pip,2.5,5.0,1.2,50,15,0.5,0.0,3,True,3.0*pip,45,True,1,21,1.4,0.0,1.2,False,0,0.0,0.6,45
836,XAUUSD,50,8,8,1,3.00*pip,2.50*pipPoints,True,True,False,3.5*pip,120,0.5,16.0*pip,1.2,2.0,1.2,50,5,0.8,0.0,2,False,2.5*pip,90,False,0,14,0.0,0.0,0.0,False,0,0.0,0.6,30
