PresetID,Symbol,K_swing,N_bos,M_retest,EqTol_pips,UseRoundNumber,RNDelta_pips,UseKillzones,RiskPerTradePct,TrailMode,SL_Buffer_pips,BOSBuffer_pips,UsePendingRetest,RetestOffset_pips,TP1_R,TP2_R,BE_Activate_R,PartialClosePct,UsePyramid,MaxAdds,AddSizeFactor,AddSpacing_pips,MaxOpenPositions,TimeStopMinutes,MinProgressR
1,XAUUSD,50.0,6.0,3.0,20.0,1,28.000000000000004,1,0.5,,60.0,2.0,0,7.000000000000001,1.0,2.0,0.8,50.0,0,0.0,0.6,40.0,1.0,5.0,0.5
2,XAUUSD,60.0,5.0,3.0,18.0,1,30.0,1,0.5,,70.0,2.0,0,7.000000000000001,1.0,2.0,0.8,50.0,0,0.0,0.6,40.0,1.0,5.0,0.5
3,XAUUSD,60.0,5.0,3.0,18.0,1,30.0,1,0.5,,70.0,2.0,0,7.000000000000001,1.0,2.0,1.0,50.0,0,0.0,0.6,40.0,1.0,5.0,0.5
4,XAUUSD,50.0,6.0,3.0,20.0,1,35.0,1,0.5,,60.0,2.0,0,7.000000000000001,1.0,2.0,0.8,50.0,0,0.0,0.6,40.0,1.0,5.0,0.5
5,XAUUSD,50.0,6.0,3.0,20.0,1,25.0,1,0.5,,60.0,2.0,0,7.000000000000001,1.0,2.0,0.8,50.0,0,0.0,0.6,40.0,1.0,5.0,0.5
6,XAUUSD,50.0,6.0,3.0,20.0,1,30.0,1,0.5,,60.0,2.0,0,7.000000000000001,1.0,2.0,0.8,50.0,0,0.0,0.6,40.0,1.0,5.0,0.5
7,XAUUSD,50.0,6.0,2.0,20.0,1,30.0,1,0.5,,60.0,2.0,0,7.000000000000001,1.0,2.0,0.8,50.0,0,0.0,0.6,40.0,1.0,5.0,0.5
8,XAUUSD,50.0,6.0,4.0,20.0,1,30.0,1,0.5,,60.0,2.0,0,7.000000000000001,1.0,2.0,0.8,50.0,0,0.0,0.6,40.0,1.0,5.0,0.5
9,XAUUSD,50.0,6.0,3.0,22.0,1,40.0,1,0.5,,60.0,1.0,0,7.000000000000001,1.0,2.0,0.8,50.0,0,0.0,0.6,40.0,1.0,5.0,0.5
10,XAUUSD,50.0,6.0,3.0,20.0,1,32.0,1,0.5,,60.0,2.0,0,7.000000000000001,1.0,2.0,0.8,50.0,0,0.0,0.6,40.0,1.0,5.0,0.5
11,XAUUSD,50.0,6.0,3.0,20.0,1,30.0,1,0.5,,60.0,2.0,0,7.000000000000001,1.0,2.0,1.0,50.0,0,0.0,0.6,40.0,1.0,5.0,0.5
12,XAUUSD,55.0,6.0,3.0,20.0,1,30.0,1,0.5,,60.0,1.5,0,7.000000000000001,1.0,2.0,0.8,50.0,0,0.0,0.6,40.0,1.0,5.0,0.5
13,XAUUSD,50.0,6.0,3.0,20.0,1,28.000000000000004,1,0.5,,60.0,2.0,0,7.000000000000001,1.0,2.0,0.8,50.0,0,0.0,0.6,40.0,1.0,5.0,0.5
14,XAUUSD,50.0,6.0,3.0,18.0,1,30.0,1,0.5,,65.0,2.0,0,7.000000000000001,1.0,2.0,0.8,50.0,0,0.0,0.6,40.0,1.0,5.0,0.5
15,XAUUSD,55.0,5.0,3.0,18.0,1,30.0,1,0.5,,65.0,2.5,0,7.000000000000001,1.0,2.0,0.8,50.0,0,0.0,0.6,40.0,1.0,5.0,0.5
16,XAUUSD,55.0,5.0,3.0,18.0,1,30.0,1,0.5,,65.0,2.0,0,7.000000000000001,1.0,2.0,0.8,50.0,0,0.0,0.6,40.0,1.0,5.0,0.5
17,XAUUSD,60.0,6.0,3.0,22.0,1,35.0,1,0.5,,60.0,2.0,0,7.000000000000001,1.0,2.0,0.8,50.0,0,0.0,0.6,40.0,1.0,5.0,0.5
18,XAUUSD,50.0,6.0,3.0,20.0,1,30.0,1,0.5,,60.0,2.0,0,7.000000000000001,1.0,2.0,0.8,50.0,0,0.0,0.6,40.0,1.0,4.0,0.6
19,XAUUSD,55.0,5.0,3.0,18.0,1,30.0,1,0.5,,65.0,2.0,0,7.000000000000001,1.0,2.0,1.0,40.0,0,0.0,0.6,40.0,1.0,5.0,0.5
20,XAUUSD,65.0,5.0,2.0,18.0,1,30.0,1,0.4,,70.0,2.0,0,7.000000000000001,1.0,2.0,0.8,40.0,0,0.0,0.6,40.0,1.0,5.0,0.6
21,XAUUSD,50.0,6.0,3.0,22.0,1,40.0,1,0.5,,55.00000000000001,1.0,0,7.000000000000001,1.0,2.0,0.8,50.0,0,0.0,0.6,40.0,1.0,5.0,0.5
22,XAUUSD,55.0,6.0,2.0,22.0,1,40.0,1,0.5,,55.00000000000001,1.0,0,7.000000000000001,1.0,2.0,0.8,50.0,0,0.0,0.6,40.0,1.0,5.0,0.5
23,XAUUSD,60.0,6.0,3.0,22.0,1,37.0,1,0.5,,60.0,2.0,0,7.000000000000001,1.0,2.0,0.8,50.0,0,0.0,0.6,40.0,1.0,5.0,0.5
24,XAUUSD,55.0,5.0,3.0,22.0,1,40.0,1,0.5,,60.0,2.5,0,7.000000000000001,1.0,2.0,0.8,50.0,0,0.0,0.6,40.0,1.0,5.0,0.5
25,XAUUSD,50.0,6.0,3.0,22.0,1,40.0,1,0.5,,55.00000000000001,1.0,0,7.000000000000001,1.0,2.0,0.8,50.0,0,0.0,0.6,40.0,1.0,5.0,0.5
26,XAUUSD,55.0,6.0,3.0,22.0,1,37.0,1,0.5,,55.00000000000001,1.5,0,7.000000000000001,1.0,2.0,0.8,50.0,0,0.0,0.6,40.0,1.0,5.0,0.5
27,XAUUSD,50.0,6.0,3.0,20.0,1,35.0,1,0.5,1.0,50.0,2.0,0,7.000000000000001,1.0,2.0,0.6,50.0,0,0.0,0.6,40.0,1.0,5.0,0.5
28,XAUUSD,50.0,6.0,3.0,20.0,1,35.0,1,0.5,1.0,50.0,2.0,0,7.000000000000001,1.0,2.0,0.8,50.0,0,0.0,0.6,40.0,1.0,5.0,0.5
29,XAUUSD,50.0,6.0,3.0,20.0,1,35.0,1,0.5,2.0,50.0,2.0,0,7.000000000000001,1.0,2.0,0.8,50.0,0,0.0,0.6,40.0,1.0,5.0,0.5
30,XAUUSD,50.0,6.0,3.0,20.0,1,35.0,1,0.5,1.0,50.0,2.0,0,7.000000000000001,1.2,2.0,0.8,40.0,0,0.0,0.6,40.0,1.0,5.0,0.5
31,XAUUSD,50.0,6.0,3.0,20.0,1,35.0,1,0.5,2.0,50.0,2.0,0,7.000000000000001,1.2,2.0,0.8,40.0,0,0.0,0.6,40.0,1.0,5.0,0.5
