Case,Symbol,K_swing,N_bos,LookbackInternal,M_retest,EqTol,BOSBufferPoints,UseKillzones,UseRoundNumber,UseVSA,RNDelta,L_percentile,RiskPerTradePct,SL_BufferUSD,TP1_R,TP2_R,BE_Activate_R,PartialClosePct,TimeStopMinutes,MinProgressR,MaxSpreadUSD,MaxOpenPositions,UsePendingRetest,RetestOffsetUSD,PendingExpirySec,UseTrailing,TrailMode,TrailATRPeriod,TrailATRMult,TrailStepUSD,TrailStartRR,UsePyramid,MaxAdds,AddSpacingUSD,AddSizeFactor,CooldownSec
1,XAUUSD,50,6,12,3,0.2,2,true,true,false,0.28,150,0.5,0.6,1,2,0.8,50,5,0.5,0.55,1,false,0.07,60,false,0,14,2,0.3,1,false,0,0.4,0.6,0
2,XAUUSD,60,5,12,3,0.18,2,true,true,true,0.3,150,0.5,0.7,1,2,0.8,50,5,0.5,0.45,1,false,0.07,60,false,0,14,2,0.3,1,false,0,0.4,0.6,0
3,XAUUSD,60,5,12,3,0.18,2,true,true,true,0.3,150,0.5,0.7,1,2,1,50,5,0.5,0.48,1,false,0.07,60,false,0,14,2,0.3,1,false,0,0.4,0.6,0
4,XAUUSD,50,6,12,3,0.2,2,true,true,true,0.35,150,0.5,0.6,1,2,0.8,50,5,0.5,0.6,1,false,0.07,60,false,0,14,2,0.3,1,false,0,0.4,0.6,0
5,XAUUSD,50,6,12,3,0.2,2,true,true,true,0.25,150,0.5,0.6,1,2,0.8,50,5,0.5,0.55,1,false,0.07,60,false,0,14,2,0.3,1,false,0,0.4,0.6,0
6,XAUUSD,50,6,12,3,0.2,2,true,true,true,0.3,150,0.5,0.5,1,2,0.8,50,5,0.5,0.5,1,false,0.07,60,false,0,14,2,0.3,1,false,0,0.4,0.6,0
7,XAUUSD,50,6,12,2,0.2,2,true,true,true,0.3,150,0.5,0.5,1,2,0.8,50,5,0.5,0.6,1,false,0.07,60,false,0,14,2,0.3,1,false,0,0.4,0.6,0
8,XAUUSD,50,6,12,4,0.2,2,true,true,true,0.3,150,0.5,0.5,1,2,0.8,50,5,0.5,0.6,1,false,0.07,60,false,0,14,2,0.3,1,false,0,0.4,0.6,0
9,XAUUSD,50,6,12,3,0.22,1,true,true,true,0.4,150,0.5,0.5,1,2,0.8,50,5,0.5,0.6,1,false,0.07,60,false,0,14,2,0.3,1,false,0,0.4,0.6,0
10,XAUUSD,50,6,12,3,0.2,2,true,true,true,0.32,150,0.5,0.5,1,2,0.8,50,5,0.5,0.55,1,false,0.07,60,false,0,14,2,0.3,1,false,0,0.4,0.6,0
11,XAUUSD,50,6,12,3,0.2,2,true,true,true,0.3,150,0.5,0.5,1,2,1,50,5,0.5,0.55,1,false,0.07,60,false,0,14,2,0.3,1,false,0,0.4,0.6,0
12,XAUUSD,55,6,12,3,0.2,1.5,true,true,true,0.3,150,0.5,0.5,1,2,0.8,50,5,0.5,0.55,1,false,0.07,60,false,0,14,2,0.3,1,false,0,0.4,0.6,0
13,XAUUSD,50,6,12,3,0.2,2,true,true,true,0.28,150,0.5,0.5,1,2,0.8,50,5,0.5,0.55,1,false,0.07,60,false,0,14,2,0.3,1,false,0,0.4,0.6,0
14,XAUUSD,50,6,12,3,0.18,2,true,true,true,0.3,150,0.5,0.65,1,2,0.8,50,5,0.5,0.55,1,false,0.07,60,false,0,14,2,0.3,1,false,0,0.4,0.6,0
15,XAUUSD,55,5,12,3,0.18,2.5,true,true,true,0.3,150,0.5,0.65,1,2,0.8,50,5,0.5,0.55,1,false,0.07,60,false,0,14,2,0.3,1,false,0,0.4,0.6,0
16,XAUUSD,55,5,12,3,0.18,2,true,true,true,0.3,150,0.5,0.65,1,2,0.8,50,5,0.5,0.48,1,false,0.07,60,false,0,14,2,0.3,1,false,0,0.4,0.6,0
17,XAUUSD,60,6,12,3,0.22,2,true,true,true,0.35,150,0.5,0.5,1,2,0.8,50,5,0.5,0.6,1,false,0.07,60,false,0,14,2,0.3,1,false,0,0.4,0.6,0
18,XAUUSD,50,6,12,3,0.2,2,true,true,true,0.3,150,0.5,0.6,1,2,0.8,50,4,0.6,0.55,1,false,0.07,60,false,0,14,2,0.3,1,false,0,0.4,0.6,0
19,XAUUSD,55,5,12,3,0.18,2,true,true,true,0.3,150,0.5,0.65,1,2,1,40,5,0.5,0.55,1,false,0.07,60,false,0,14,2,0.3,1,false,0,0.4,0.6,0
20,XAUUSD,65,5,12,2,0.18,2,true,true,true,0.3,150,0.4,0.7,1,2,0.8,40,5,0.6,0.6,1,false,0.07,60,false,0,14,2,0.3,1,false,0,0.4,0.6,0
21,XAUUSD,50,6,12,3,0.22,1,true,true,true,0.4,150,0.5,0.55,1,2,0.8,50,5,0.5,0.65,1,false,0.07,60,false,0,14,2,0.3,1,false,0,0.4,0.6,0
22,XAUUSD,55,6,12,2,0.22,1,true,true,true,0.4,150,0.5,0.55,1,2,0.8,50,5,0.5,0.65,1,false,0.07,60,false,0,14,2,0.3,1,false,0,0.4,0.6,0
23,XAUUSD,60,6,12,3,0.22,2,true,true,true,0.37,150,0.5,0.6,1,2,0.8,50,5,0.5,0.6,1,false,0.07,60,false,0,14,2,0.3,1,false,0,0.4,0.6,0
24,XAUUSD,55,5,12,3,0.22,2.5,true,true,true,0.4,150,0.5,0.6,1,2,0.8,50,5,0.5,0.6,1,false,0.07,60,false,0,14,2,0.3,1,false,0,0.4,0.6,0
25,XAUUSD,50,6,12,3,0.22,1,true,true,true,0.4,150,0.5,0.55,1,2,0.8,50,5,0.5,0.5,1,false,0.07,60,false,0,14,2,0.3,1,false,0,0.4,0.6,0
