DateTime,Currency,Event,Impact
2025-07-02 12:30,USD,Non-Farm Payrolls,High
2025-07-02 12:30,USD,Unemployment Rate,High
2025-07-10 12:30,USD,CPI m/m,High
2025-07-10 12:30,USD,Core CPI m/m,High
2025-07-18 18:00,USD,FOMC Statement,High
2025-07-18 18:30,USD,FOMC Press Conference,High
2025-07-24 12:30,USD,GDP q/q,Medium
2025-07-31 18:00,USD,Federal Funds Rate,High
2025-08-01 12:30,USD,Non-Farm Payrolls,High
2025-08-01 12:30,USD,Unemployment Rate,High
2025-08-13 12:30,USD,CPI m/m,High
2025-08-13 12:30,USD,Core CPI m/m,High
2025-08-21 18:00,USD,FOMC Meeting Minutes,High
2025-08-29 12:30,USD,PCE Price Index,High
2025-09-05 12:30,USD,Non-Farm Payrolls,High
2025-09-05 12:30,USD,Unemployment Rate,High
2025-09-11 12:30,USD,CPI m/m,High
2025-09-11 12:30,USD,Core CPI m/m,High
2025-09-18 18:00,USD,FOMC Statement,High
2025-09-18 18:30,USD,FOMC Press Conference,High
2025-09-18 18:00,USD,Federal Funds Rate,High

