Case,Symbol,K_swing,N_bos,LookbackInternal,M_retest,EqTol,BOSBufferPoints,UseKillzones,UseRoundNumber,UseVSA,RNDelta,L_percentile,RiskPerTradePct,SL_BufferUSD,TP1_R,TP2_R,BE_Activate_R,PartialClosePct,TimeStopMinutes,MinProgressR,MaxSpreadUSD,MaxOpenPositions,UsePendingRetest,RetestOffsetUSD,PendingExpirySec,UseTrailing,TrailMode,TrailATRPeriod,TrailATRMult,TrailStepUSD,TrailStartRR,UsePyramid,MaxAdds,AddSpacingUSD,AddSizeFactor,CooldownSec
1058,EURUSD,50,5,12,3,0.00014,0.5,True,True,False,0.00028,130,0.45,0.0077,1.5,3.0,0.8,35,120,0.8,0.0005,3,False,0.0,0,False,0,0,0.0,0.0,0.0,False,0,0.0,0.0,0
1106,EURUSD,50,5,12,3,0.00014,0.5,True,True,False,0.00028,130,0.8,0.0077,2.2,4.0,1.0,25,180,1.0,0.0005,2,False,0.0,0,False,0,0,0.0,0.0,0.0,False,0,0.0,0.0,0
1034,EURUSD,50,5,12,3,0.00014,0.5,True,True,False,0.00028,130,0.35,0.0077,1.2,2.5,0.7,40,90,0.7,0.0005,3,False,0.0,0,False,0,0,0.0,0.0,0.0,False,0,0.0,0.0,0
1082,EURUSD,50,5,12,3,0.00014,0.5,True,True,False,0.00028,130,0.6,0.0077,1.8,3.5,0.9,30,150,0.9,0.0005,2,False,0.0,0,False,0,0,0.0,0.0,0.0,False,0,0.0,0.0,0
1342,EURUSD,70,7,16,4,0.00014,0.5,True,False,False,0.00028,120,0.8,0.0077,2.2,4.0,1.0,25,180,1.0,0.0005,2,True,0.00035714,3600,False,0,0,0.0,0.0,0.0,False,0,0.0,0.0,0
1010,EURUSD,50,5,12,3,0.00014,0.5,True,True,False,0.00028,130,0.25,0.0077,0.9,2.2,0.6,45,60,0.6,0.0005,4,False,0.0,0,False,0,0,0.0,0.0,0.0,False,0,0.0,0.0,0
1341,EURUSD,60,6,14,3,0.00014,0.5,True,False,False,0.00028,120,0.8,0.0077,2.2,4.0,1.0,25,180,1.0,0.0005,2,True,0.00035714,3600,False,0,0,0.0,0.0,0.0,False,0,0.0,0.0,0
1222,EURUSD,70,7,16,4,0.00014,0.5,True,False,False,0.00028,120,0.8,0.0077,2.2,4.0,1.0,25,180,1.0,0.0005,2,True,0.00028571,2400,False,0,0,0.0,0.0,0.0,False,0,0.0,0.0,0
1221,EURUSD,60,6,14,3,0.00014,0.5,True,False,False,0.00028,120,0.8,0.0077,2.2,4.0,1.0,25,180,1.0,0.0005,2,True,0.00028571,2400,False,0,0,0.0,0.0,0.0,False,0,0.0,0.0,0
1359,GBPUSD,45,5,10,2,0.00016,0.5,True,True,False,0.00064,120,0.3,0.0088,1.0,2.4,0.6,45,60,0.6,0.0008,3,False,0.0,0,False,0,0,0.0,0.0,0.0,False,0,0.0,0.0,0
1407,GBPUSD,45,5,10,2,0.00016,0.5,True,True,False,0.00064,120,0.6,0.0088,1.6,3.2,0.8,35,120,0.8,0.0008,2,False,0.0,0,False,0,0,0.0,0.0,0.0,False,0,0.0,0.0,0
1479,GBPUSD,45,5,10,2,0.00016,0.5,True,True,False,0.00064,120,0.3,0.0088,1.0,2.4,0.6,45,60,0.6,0.0008,3,True,0.00034286,2400,False,0,0,0.0,0.0,0.0,False,0,0.0,0.0,0
1599,GBPUSD,45,5,10,2,0.00016,0.5,True,True,False,0.00064,120,0.3,0.0088,1.0,2.4,0.6,45,60,0.6,0.0008,3,True,0.00042857,3600,False,0,0,0.0,0.0,0.0,False,0,0.0,0.0,0
1503,GBPUSD,45,5,10,2,0.00016,0.5,True,True,False,0.00064,120,0.45,0.0088,1.3,2.8,0.7,40,90,0.7,0.0008,3,True,0.00034286,2400,False,0,0,0.0,0.0,0.0,False,0,0.0,0.0,0
1431,GBPUSD,45,5,10,2,0.00016,0.5,True,True,False,0.00064,120,0.75,0.0088,2.0,3.8,0.9,30,150,0.9,0.0008,2,False,0.0,0,False,0,0,0.0,0.0,0.0,False,0,0.0,0.0,0
1385,GBPUSD,65,7,14,4,0.00016,0.5,True,True,False,0.00064,120,0.45,0.0088,1.3,2.8,0.7,40,90,0.7,0.0008,3,False,0.0,0,False,0,0,0.0,0.0,0.0,False,0,0.0,0.0,0
1623,GBPUSD,45,5,10,2,0.00016,0.5,True,True,False,0.00064,120,0.45,0.0088,1.3,2.8,0.7,40,90,0.7,0.0008,3,True,0.00042857,3600,False,0,0,0.0,0.0,0.0,False,0,0.0,0.0,0
1384,GBPUSD,55,6,12,3,0.00016,0.5,True,True,False,0.00064,120,0.45,0.0088,1.3,2.8,0.7,40,90,0.7,0.0008,3,False,0.0,0,False,0,0,0.0,0.0,0.0,False,0,0.0,0.0,0
1912,USDJPY,35,4,8,2,0.014,0.5,False,False,False,0.028,120,0.6,0.055,1.8,3.5,0.9,30,150,0.9,0.05,2,True,0.00571429,2400,False,0,0,0.0,0.0,0.0,False,0,0.0,0.0,0
1759,USDJPY,65,7,14,3,0.014,0.5,True,True,False,0.028,140,0.45,0.055,1.4,3.0,0.8,35,120,0.8,0.05,3,False,0.0,0,False,0,0,0.0,0.0,0.0,False,0,0.0,0.0,0
1783,USDJPY,65,7,14,3,0.014,0.5,True,True,False,0.028,140,0.6,0.055,1.8,3.5,0.9,30,150,0.9,0.05,2,False,0.0,0,False,0,0,0.0,0.0,0.0,False,0,0.0,0.0,0
1879,USDJPY,65,7,14,3,0.014,0.5,True,True,False,0.028,140,0.45,0.055,1.4,3.0,0.8,35,120,0.8,0.05,3,True,0.00571429,2400,False,0,0,0.0,0.0,0.0,False,0,0.0,0.0,0
1999,USDJPY,65,7,14,3,0.014,0.5,True,True,False,0.028,140,0.45,0.055,1.4,3.0,0.8,35,120,0.8,0.05,3,True,0.00714286,3600,False,0,0,0.0,0.0,0.0,False,0,0.0,0.0,0
1807,USDJPY,65,7,14,3,0.014,0.5,True,True,False,0.028,140,0.8,0.055,2.2,4.2,1.0,25,180,1.0,0.05,2,False,0.0,0,False,0,0,0.0,0.0,0.0,False,0,0.0,0.0,0
11805,XAUUSD,50,3,12,1,0.12,267000.0,False,True,False,0.45999999999999996,150,0.3,0.8,2.5,5.0,1.2,30,15,0.8,0.0,2,False,0.27,60,False,0,14,1.4,0.5,1.0,True,1,-0.1,0.7,30
273,XAUUSD,65,7,18,4,0.16,1.0,True,True,False,0.28,140,0.4,0.55,1.2,2.4,0.7,35,60,0.6,0.5,3,True,0.04,2400,False,0,0,0.0,0.0,0.0,False,0,0.0,0.0,0
300,XAUUSD,65,7,18,4,0.16,1.0,True,False,False,0.28,160,0.4,0.55,1.2,2.4,0.7,35,60,0.6,0.5,3,True,0.04,2400,False,0,0,0.0,0.0,0.0,False,0,0.0,0.0,0
235,XAUUSD,55,6,14,3,0.16,1.0,True,True,False,0.28,140,0.3,0.55,0.9,2.0,0.6,40,45,0.5,0.5,3,True,0.04,2400,False,0,0,0.0,0.0,0.0,False,0,0.0,0.0,0
262,XAUUSD,55,6,14,3,0.16,1.0,True,False,False,0.28,160,0.3,0.55,0.9,2.0,0.6,40,45,0.5,0.5,3,True,0.04,2400,False,0,0,0.0,0.0,0.0,False,0,0.0,0.0,0
275,XAUUSD,80,9,22,6,0.16,1.0,True,True,False,0.28,140,0.4,0.55,1.2,2.4,0.7,35,60,0.6,0.5,3,True,0.04,2400,False,0,0,0.0,0.0,0.0,False,0,0.0,0.0,0
274,XAUUSD,70,8,20,5,0.16,1.0,True,True,False,0.28,140,0.4,0.55,1.2,2.4,0.7,35,60,0.6,0.5,3,True,0.04,2400,False,0,0,0.0,0.0,0.0,False,0,0.0,0.0,0
254,XAUUSD,60,7,16,4,0.16,1.0,False,True,False,0.28,130,0.3,0.55,0.9,2.0,0.6,40,45,0.5,0.5,3,True,0.04,2400,False,0,0,0.0,0.0,0.0,False,0,0.0,0.0,0
12843,XAUUSD,45,3,12,2,0.16000000000000003,204000.0,False,False,False,0.47000000000000003,150,0.3,0.97,1.0,2.0,1.0,30,0,0.8,0.0,2,False,0.27,60,True,1,14,1.4,0.5,1.0,False,0,0.0,0.6,30
290,XAUUSD,60,7,16,4,0.16,1.0,False,True,False,0.28,130,0.4,0.55,1.2,2.4,0.7,35,60,0.6,0.5,3,True,0.04,2400,False,0,0,0.0,0.0,0.0,False,0,0.0,0.0,0
272,XAUUSD,60,7,16,4,0.16,1.0,True,True,False,0.28,140,0.4,0.55,1.2,2.4,0.7,35,60,0.6,0.5,3,True,0.04,2400,False,0,0,0.0,0.0,0.0,False,0,0.0,0.0,0
299,XAUUSD,60,7,16,4,0.16,1.0,True,False,False,0.28,160,0.4,0.55,1.2,2.4,0.7,35,60,0.6,0.5,3,True,0.04,2400,False,0,0,0.0,0.0,0.0,False,0,0.0,0.0,0
24,XAUUSD,55,5,12,3,0.22,2.5,True,True,False,0.4,150,0.5,0.6,1.0,2.0,0.8,50,5,0.5,0.6,1,False,0.07,60,False,0,14,2.0,0.3,1.0,False,0,0.4,0.6,0
2,XAUUSD,60,5,12,3,0.18,2.0,True,True,False,0.3,150,0.5,0.7,1.0,2.0,0.8,50,5,0.5,0.45,1,False,0.07,60,False,0,14,2.0,0.3,1.0,False,0,0.4,0.6,0
3,XAUUSD,60,5,12,3,0.18,2.0,True,True,False,0.3,150,0.5,0.7,1.0,2.0,1.0,50,5,0.5,0.48,1,False,0.07,60,False,0,14,2.0,0.3,1.0,False,0,0.4,0.6,0
15,XAUUSD,55,5,12,3,0.18,2.5,True,True,False,0.3,150,0.5,0.65,1.0,2.0,0.8,50,5,0.5,0.55,1,False,0.07,60,False,0,14,2.0,0.3,1.0,False,0,0.4,0.6,0
16,XAUUSD,55,5,12,3,0.18,2.0,True,True,False,0.3,150,0.5,0.65,1.0,2.0,0.8,50,5,0.5,0.48,1,False,0.07,60,False,0,14,2.0,0.3,1.0,False,0,0.4,0.6,0
19,XAUUSD,55,5,12,3,0.18,2.0,True,True,False,0.3,150,0.5,0.65,1.0,2.0,1.0,40,5,0.5,0.55,1,False,0.07,60,False,0,14,2.0,0.3,1.0,False,0,0.4,0.6,0
17,XAUUSD,60,6,12,3,0.22,2.0,True,True,False,0.35,150,0.5,0.6,1.0,2.0,0.8,50,5,0.5,0.6,1,False,0.07,60,False,0,14,2.0,0.3,1.0,False,0,0.4,0.6,0
23,XAUUSD,60,6,12,3,0.22,2.0,True,True,False,0.37,150,0.5,0.6,1.0,2.0,0.8,50,5,0.5,0.6,1,False,0.07,60,False,0,14,2.0,0.3,1.0,False,0,0.4,0.6,0
20,XAUUSD,65,5,12,2,0.18,2.0,True,True,False,0.3,150,0.4,0.7,1.0,2.0,0.8,40,5,0.6,0.6,1,False,0.07,60,False,0,14,2.0,0.3,1.0,False,0,0.4,0.6,0
27,XAUUSD,50,6,12,3,0.2,2.0,True,True,False,0.35,150,0.5,0.5,1.0,2.0,0.6,50,5,0.5,0.5,1,False,0.07,60,True,1,14,1.5,0.3,0.8,False,0,0.4,0.6,0
